Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0095"
"9.3480","0.3121","4.9948"
"9.9680","0.3318","9.9963"
"10.2240","0.3414","15.0007"
"10.4760","0.3489","20.0136"
"10.7300","0.3576","25.0481"
"10.9320","0.3651","30.0879"
"11.1220","0.3713","35.1209"
"11.3200","0.3776","40.1484"
"11.5520","0.3846","45.1633"
"11.7800","0.3923","50.2241"
"11.9720","0.3994","55.3146"
"12.1580","0.4051","60.3260"
"12.3340","0.4115","65.3584"
"12.5360","0.4184","70.3798"
"12.6980","0.4239","75.4496"
"12.8980","0.4304","80.5200"
"13.0540","0.4357","85.5471"
"13.2440","0.4418","90.5942"
"13.4240","0.4482","95.6151"
"13.5980","0.4535","100.6963"
"13.7780","0.4600","105.7100"
"13.9460","0.4649","110.7359"
"14.1300","0.4716","115.7587"
"14.3160","0.4775","120.8359"
"14.4680","0.4824","125.8627"
"14.6560","0.4884","130.8633"
"14.8060","0.4934","135.8878"
"15.0080","0.5000","140.9569"
"15.1660","0.5054","145.9939"
"15.3360","0.5108","151.0353"
"15.5040","0.5165","156.0851"
"15.6860","0.5224","161.1081"
"15.8400","0.5276","166.1183"
"16.0140","0.5334","171.1588"
"16.1400","0.5384","176.2322"
"16.3060","0.5440","181.2395"
"16.4900","0.5501","186.2921"
"16.6460","0.5556","191.3811"
"16.8320","0.5616","196.4906"
"16.9880","0.5669","201.5518"
"17.1740","0.5728","206.5869"
"17.3360","0.5784","211.6589"
"17.5020","0.5831","216.6938"
"17.6560","0.5882","221.7017"
"17.8140","0.5934","226.7108"
"17.9520","0.5984","231.7227"
"18.1080","0.6039","236.7421"
"18.2740","0.6096","241.7870"
"18.4280","0.6149","246.8351"
"18.6140","0.6210","251.8402"
"18.7620","0.6258","256.8995"
"18.9440","0.6315","261.9208"
"19.0760","0.6355","266.9585"
"19.2280","0.6406","271.9603"
"19.3840","0.6461","276.9708"
"19.5160","0.6511","282.0005"
"19.7020","0.6572","287.1189"
"19.8440","0.6621","292.1447"
"20.0280","0.6679","297.1580"
"20.1860","0.6732","302.2200"
"20.3360","0.6774","307.2387"
"20.4840","0.6824","312.2792"
"20.6040","0.6871","317.3028"
"20.7780","0.6931","322.3266"
"20.9340","0.6985","327.3930"
"21.1000","0.7036","332.4488"
"21.2560","0.7088","337.4488"
"21.4220","0.7136","342.4732"
"21.5660","0.7184","347.4963"
"21.7160","0.7236","352.5117"
"21.8480","0.7287","357.6082"
"22.0120","0.7344","362.6298"
"22.1780","0.7396","367.6761"
"22.3300","0.7447","372.7403"
"22.4920","0.7493","377.7866"
"22.6000","0.7532","382.8080"
"22.7620","0.7588","387.8503"
"22.9180","0.7644","392.8819"
"23.0740","0.7699","397.9980"
"23.2440","0.7751","403.1308"
"23.4040","0.7804","408.1708"
"23.5540","0.7846","413.2170"
"23.7140","0.7901","418.2541"
"23.8160","0.7942","423.2929"
"23.9820","0.7999","428.3088"
"24.1400","0.8054","433.3944"
"24.2980","0.8098","438.4443"
"24.4660","0.8157","443.5435"
"24.5940","0.8194","448.5826"
"24.6400","0.8210","450.0470"
"24.6420","0.8211","450.0942"
"24.7280","0.8244","453.4295"
"24.9560","0.8172","448.3072"
"25.0680","0.8127","443.2874"
"25.2140","0.8078","438.2442"
"25.3420","0.8041","433.2307"
"25.4620","0.7993","428.1632"
"25.6100","0.7943","423.0455"
"25.7580","0.7897","418.0404"
"25.9080","0.7850","412.9969"
"26.0360","0.7809","407.9892"
"26.1640","0.7757","402.9677"
"26.3120","0.7708","397.8904"
"26.4720","0.7659","392.8377"
"26.6080","0.7618","387.8206"
"26.7680","0.7566","382.7820"
"26.8740","0.7519","377.6976"
"27.0260","0.7470","372.6225"
"27.1820","0.7423","367.5750"
"27.3080","0.7384","362.5672"
"27.4680","0.7332","357.5516"
"27.5800","0.7284","352.4444"
"27.7380","0.7232","347.3573"
"27.8960","0.7186","342.3288"
"28.0400","0.7141","337.3051"
"28.1740","0.7096","332.3027"
"28.2980","0.7045","327.2026"
"28.4520","0.6994","322.1527"
"28.6160","0.6944","317.1257"
"28.7420","0.6907","312.1028"
"28.8800","0.6860","307.0851"
"29.0100","0.6807","301.9664"
"29.1640","0.6757","296.9355"
"29.3380","0.6702","291.8140"
"29.4540","0.6669","286.7847"
"29.6100","0.6618","281.7826"
"29.7280","0.6568","276.7782"
"29.8860","0.6516","271.6905"
"30.0500","0.6464","266.6332"
"30.1700","0.6431","261.5925"
"30.3260","0.6379","256.5520"
"30.4460","0.6329","251.5145"
"30.6100","0.6276","246.4707"
"30.7680","0.6224","241.3631"
"30.9120","0.6181","236.3032"
"31.0640","0.6134","231.2884"
"31.1900","0.6086","226.2679"
"31.3260","0.6037","221.2395"
"31.4880","0.5983","216.1989"
"31.6340","0.5939","211.1708"
"31.7860","0.5893","206.1390"
"31.9220","0.5844","201.1230"
"32.0500","0.5798","196.0885"
"32.2160","0.5738","191.0526"
"32.3660","0.5691","186.0024"
"32.5280","0.5644","180.9661"
"32.6780","0.5595","175.9179"
"32.7820","0.5556","170.8797"
"32.9420","0.5497","165.7769"
"33.1000","0.5444","160.7410"
"33.2640","0.5394","155.7266"
"33.4180","0.5346","150.7191"
"33.5620","0.5301","145.7156"
"33.6800","0.5254","140.6700"
"33.8600","0.5198","135.6568"
"34.0020","0.5144","130.5592"
"34.1660","0.5089","125.5588"
"34.3140","0.5048","120.5127"
"34.4560","0.5002","115.4993"
"34.6460","0.4939","110.4757"
"34.7460","0.4897","105.4706"
"34.9340","0.4841","100.4319"
"35.0740","0.4786","95.4314"
"35.2500","0.4728","90.4187"
"35.4260","0.4669","85.3749"
"35.5800","0.4621","80.3054"
"35.7600","0.4563","75.2789"
"35.9120","0.4515","70.2523"
"36.1080","0.4449","65.2277"
"36.2780","0.4391","60.2238"
"36.4480","0.4337","55.2070"
"36.6280","0.4276","50.1876"
"36.8220","0.4211","45.1758"
"37.0020","0.4147","40.1311"
"37.1900","0.4086","35.0970"
"37.3500","0.4034","30.0657"
"37.5380","0.3971","25.0332"
"37.7200","0.3908","20.0263"
"37.9020","0.3849","15.0042"
"38.0880","0.3783","9.9284"
"38.2640","0.3726","4.9405"
"38.2660","0.3726","4.8580"
"38.3380","0.3704","3.2111"
"38.5760","0.3781","8.2469"
"38.7200","0.3836","13.2975"
"38.8640","0.3888","18.3261"
"39.0400","0.3944","23.4257"
"39.1960","0.3996","28.4725"
"39.3720","0.4048","33.5197"
"39.5400","0.4107","38.5528"
"39.6820","0.4149","43.5889"
"39.8400","0.4203","48.6272"
"39.9800","0.4254","53.6377"
"40.1500","0.4313","58.6470"
"40.3080","0.4368","63.7326"
"40.4740","0.4423","68.7472"
"40.6360","0.4478","73.7651"
"40.8100","0.4530","78.7931"
"40.9740","0.4586","83.8705"
"41.1340","0.4634","88.9312"
"41.2860","0.4684","93.9386"
"41.4260","0.4734","98.9505"
"41.6100","0.4795","103.9675"
"41.7340","0.4844","108.9772"
"41.9120","0.4903","114.0735"
"42.0660","0.4955","119.1093"
"42.2380","0.5006","124.1857"
"42.4120","0.5069","129.2647"
"42.5520","0.5106","134.3245"
"42.7280","0.5167","139.3763"
"42.8820","0.5217","144.3824"
"43.0160","0.5267","149.4267"
"43.1740","0.5323","154.4570"
"43.3300","0.5375","159.5388"
"43.4940","0.5431","164.5916"
"43.6640","0.5481","169.6224"
"43.8160","0.5530","174.6366"
"43.9680","0.5578","179.6472"
"44.0940","0.5626","184.6908"
"44.2480","0.5681","189.7277"
"44.4240","0.5739","194.7341"
"44.5680","0.5790","199.8271"
"44.7460","0.5844","204.9144"
"44.8760","0.5882","209.9363"
"45.0420","0.5936","214.9572"
"45.1820","0.5986","219.9885"
"45.3060","0.6035","225.0632"
"45.4840","0.6094","230.1086"
"45.6300","0.6141","235.1835"
"45.8060","0.6195","240.2495"
"45.9520","0.6242","245.3331"
"46.0740","0.6283","250.3468"
"46.2160","0.6335","255.3770"
"46.3700","0.6390","260.3940"
"46.5380","0.6443","265.4705"
"46.6880","0.6491","270.5272"
"46.8340","0.6533","275.5765"
"46.9520","0.6578","280.6129"
"47.1300","0.6636","285.6224"
"47.2680","0.6688","290.6754"
"47.4260","0.6743","295.7506"
"47.5800","0.6783","300.7757"
"47.7300","0.6834","305.8033"
"47.8780","0.6883","310.8045"
"47.9920","0.6929","315.9062"
"48.1500","0.6984","320.9782"
"48.3120","0.7032","326.0068"
"48.4700","0.7084","331.1100"
"48.6220","0.7129","336.1245"
"48.7320","0.7172","341.1575"
"48.8800","0.7226","346.1959"
"49.0540","0.7283","351.2571"
"49.1960","0.7329","356.2684"
"49.3580","0.7375","361.2951"
"49.4620","0.7413","366.3072"
"49.6040","0.7466","371.3763"
"49.7780","0.7524","376.4251"
"49.9180","0.7572","381.4290"
"50.0920","0.7624","386.4677"
"50.2060","0.7658","391.4702"
"50.3720","0.7714","396.4836"
"50.5000","0.7764","401.5240"
"50.6420","0.7814","406.5253"
"50.8140","0.7866","411.5854"
"50.9380","0.7902","416.6008"
"51.1020","0.7957","421.6304"
"51.2260","0.8004","426.6948"
"51.3720","0.8058","431.6989"
"51.5380","0.8109","436.7709"
"51.6960","0.8163","441.8255"
"51.8420","0.8203","446.8282"
"51.9080","0.8234","450.0603"
"51.9100","0.8235","450.1486"
"51.9880","0.8253","452.2092"
"52.2320","0.8178","447.0563"
"52.3480","0.8138","442.0342"
"52.4960","0.8088","436.9536"
"52.6260","0.8046","431.9178"
"52.7480","0.7996","426.8497"
"52.8980","0.7946","421.7414"
"53.0660","0.7893","416.7044"
"53.1860","0.7859","411.6688"
"53.3360","0.7809","406.6515"
"53.4540","0.7760","401.6065"
"53.6020","0.7711","396.5146"
"53.7720","0.7659","391.4394"
"53.8800","0.7626","386.4219"
"54.0400","0.7573","381.3651"
"54.1660","0.7522","376.2522"
"54.3240","0.7471","371.1560"
"54.4860","0.7421","366.0891"
"54.6000","0.7387","361.0753"
"54.7420","0.7339","356.0699"
"54.8740","0.7286","351.0162"
"55.0300","0.7235","346.0118"
"55.1920","0.7188","340.9403"
"55.3040","0.7151","335.8920"
"55.4400","0.7103","330.8913"
"55.5980","0.7045","325.8759"
"55.7460","0.6997","320.7915"
"55.9100","0.6947","315.6763"
"56.0080","0.6916","310.6575"
"56.1560","0.6865","305.6404"
"56.3080","0.6808","300.6236"
"56.4560","0.6761","295.5811"
"56.6180","0.6713","290.5318"
"56.7160","0.6679","285.4937"
"56.8940","0.6621","280.4920"
"57.0260","0.6569","275.4848"
"57.1780","0.6519","270.3980"
"57.3320","0.6474","265.3664"
"57.4500","0.6436","260.3514"
"57.6140","0.6382","255.3251"
"57.7420","0.6330","250.2681"
"57.8960","0.6280","245.1295"
"58.0480","0.6236","240.1283"
"58.2060","0.6184","235.1076"
"58.3320","0.6143","230.0721"
"58.4720","0.6089","225.0562"
"58.6120","0.6041","220.0212"
"58.7760","0.5989","214.9468"
"58.9360","0.5938","209.9230"
"59.0560","0.5902","204.8877"
"59.1920","0.5849","199.8465"
"59.3340","0.5801","194.8107"
"59.5040","0.5744","189.7314"
"59.6580","0.5695","184.7220"
"59.8060","0.5653","179.6815"
"59.9320","0.5608","174.6522"
"60.0700","0.5558","169.6222"
"60.2320","0.5500","164.5302"
"60.3960","0.5446","159.5154"
"60.5400","0.5408","154.5027"
"60.6820","0.5360","149.4989"
"60.8160","0.5314","144.4961"
"60.9620","0.5258","139.4875"
"61.1320","0.5203","134.4738"
"61.2820","0.5154","129.4246"
"61.4500","0.5097","124.3960"
"61.6080","0.5051","119.3618"
"61.7460","0.5005","114.3579"
"61.9080","0.4951","109.3229"
"62.0260","0.4902","104.2750"
"62.2000","0.4846","99.2234"
"62.3660","0.4789","94.1942"
"62.5340","0.4734","89.1648"
"62.7060","0.4680","84.1260"
"62.8680","0.4627","79.1254"
"63.0440","0.4571","74.1217"
"63.2200","0.4511","69.1117"
"63.3840","0.4460","64.0874"
"63.5520","0.4404","59.0555"
"63.7280","0.4345","54.0335"
"63.9180","0.4281","49.0209"
"64.1140","0.4215","44.0092"
"64.2760","0.4161","38.9811"
"64.4700","0.4096","33.9250"
"64.6460","0.4036","28.9225"
"64.8320","0.3975","23.8919"
"65.0080","0.3914","18.8818"
"65.1680","0.3865","13.8807"
"65.3600","0.3798","8.8169"
"65.4920","0.3757","4.9737"
"65.4940","0.3756","4.9242"
"65.5380","0.3741","4.0271"
"65.7980","0.3820","9.0616"
"65.9420","0.3876","14.0977"
"66.0860","0.3918","19.1277"
"66.2360","0.3968","24.1454"
"66.4040","0.4024","29.1587"
"66.5420","0.4076","34.1718"
"66.7040","0.4132","39.2541"
"66.8700","0.4189","44.3154"
"67.0400","0.4247","49.3736"
"67.2200","0.4305","54.4381"
"67.3780","0.4359","59.5076"
"67.5480","0.4409","64.5271"
"67.7040","0.4461","69.5533"
"67.8740","0.4513","74.5966"
"68.0340","0.4568","79.6188"
"68.1580","0.4613","84.6682"
"68.3180","0.4669","89.7241"
"68.4860","0.4727","94.7703"
"68.6540","0.4783","99.8592"
"68.8240","0.4842","104.9351"
"68.9800","0.4886","109.9575"
"69.1440","0.4943","115.0054"
"69.3200","0.4996","120.0363"
"69.4320","0.5035","125.0643"
"69.6140","0.5095","130.1249"
"69.7380","0.5144","135.1881"
"69.9080","0.5201","140.1918"
"70.0800","0.5258","145.1980"
"70.2360","0.5311","150.3136"
"70.4060","0.5362","155.3242"
"70.5500","0.5408","160.3436"
"70.7180","0.5461","165.3470"
"70.8460","0.5507","170.3577"
"70.9800","0.5559","175.4524"
"71.1540","0.5617","180.4714"
"71.3080","0.5669","185.5181"
"71.4800","0.5719","190.5802"
"71.6400","0.5775","195.6357"
"71.7660","0.5812","200.6722"
"71.9160","0.5864","205.7099"
"72.0540","0.5916","210.7383"
"72.2260","0.5974","215.8468"
"72.3800","0.6026","220.9598"
"72.5300","0.6066","225.9801"
"72.6760","0.6115","231.0059"
"72.8300","0.6167","236.0280"
"72.9640","0.6217","241.0813"
"73.1100","0.6270","246.1106"
"73.2820","0.6324","251.1469"
"73.4280","0.6371","256.1812"
"73.5960","0.6421","261.1916"
"73.7000","0.6459","266.1942"
"73.8400","0.6513","271.2069"
"74.0080","0.6568","276.2156"
"74.1540","0.6616","281.2348"
"74.3300","0.6669","286.2618"
"74.4460","0.6705","291.3352"
"74.5860","0.6755","296.3447"
"74.7400","0.6811","301.3776"
"74.8860","0.6863","306.4423"
"75.0600","0.6916","311.5533"
"75.1780","0.6949","316.5914"
"75.3280","0.7000","321.6153"
"75.4700","0.7052","326.6205"
"75.6140","0.7104","331.7199"
"75.7840","0.7158","336.8495"
"75.9300","0.7205","341.8885"
"76.0860","0.7250","346.9318"
"76.2240","0.7299","351.9437"
"76.3380","0.7345","356.9594"
"76.5120","0.7402","361.9879"
