Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0045"
"7.0560","0.2358","5.0340"
"8.1340","0.2717","10.0878"
"8.4920","0.2837","15.1602"
"8.7860","0.2925","20.1782"
"9.0000","0.3007","25.1907"
"9.2180","0.3079","30.2197"
"9.3960","0.3137","35.2429"
"9.6100","0.3204","40.2436"
"9.8440","0.3278","45.2695"
"10.0460","0.3349","50.3133"
"10.2460","0.3416","55.3243"
"10.4220","0.3479","60.3897"
"10.6140","0.3541","65.4102"
"10.8060","0.3609","70.4786"
"10.9820","0.3665","75.5587"
"11.1600","0.3728","80.6146"
"11.3340","0.3783","85.6381"
"11.5080","0.3844","90.6414"
"11.7040","0.3908","95.6781"
"11.8580","0.3959","100.7394"
"12.0560","0.4024","105.7416"
"12.2120","0.4076","110.7914"
"12.4060","0.4140","115.8091"
"12.5680","0.4195","120.8493"
"12.7300","0.4241","125.9019"
"12.9080","0.4303","130.9556"
"13.0640","0.4351","135.9809"
"13.2500","0.4416","141.0295"
"13.4060","0.4465","146.0340"
"13.5500","0.4516","151.0392"
"13.7080","0.4570","156.0491"
"13.8840","0.4630","161.0666"
"14.0360","0.4684","166.0937"
"14.2180","0.4744","171.1568"
"14.3680","0.4796","176.1589"
"14.5500","0.4854","181.1882"
"14.7140","0.4911","186.2407"
"14.8780","0.4958","191.3246"
"15.0420","0.5014","196.4260"
"15.1780","0.5056","201.4303"
"15.3360","0.5111","206.4512"
"15.4780","0.5164","211.4638"
"15.6420","0.5219","216.5031"
"15.7980","0.5273","221.5876"
"15.9720","0.5327","226.6034"
"16.1220","0.5376","231.6347"
"16.2860","0.5425","236.6673"
"16.4160","0.5469","241.6718"
"16.5440","0.5519","246.6805"
"16.7240","0.5580","251.6853"
"16.8680","0.5631","256.8114"
"17.0540","0.5690","261.8423"
"17.1920","0.5731","266.8732"
"17.3560","0.5781","271.8826"
"17.5160","0.5836","276.8882"
"17.6200","0.5877","281.9466"
"17.7960","0.5936","286.9724"
"17.9380","0.5986","292.0570"
"18.1200","0.6044","297.0619"
"18.2740","0.6095","302.1061"
"18.4200","0.6136","307.1501"
"18.5600","0.6184","312.1627"
"18.6820","0.6233","317.1819"
"18.8540","0.6291","322.2074"
"19.0060","0.6344","327.2218"
"19.1640","0.6387","332.2671"
"19.3140","0.6436","337.3155"
"19.4620","0.6484","342.3474"
