Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0037"
"1.1860","0.0401","5.0016"
"1.3580","0.0460","10.0145"
"1.5560","0.0524","15.0890"
"1.7240","0.0582","20.1382"
"1.9060","0.0642","25.1452"
"2.0740","0.0699","30.1999"
"2.2440","0.0751","35.2930"
"2.4060","0.0807","40.3141"
"2.5860","0.0861","45.3642"
"2.7480","0.0916","50.4296"
"2.9200","0.0969","55.4600"
"3.0660","0.1018","60.4758"
"3.2160","0.1069","65.4832"
"3.4120","0.1134","70.5104"
"3.5260","0.1179","75.5941"
"3.7100","0.1241","80.6319"
"3.8560","0.1292","85.7277"
"4.0400","0.1351","90.7852"
"4.2080","0.1410","95.8089"
"4.3700","0.1456","100.8557"
"4.5440","0.1518","105.8570"
"4.7020","0.1563","110.8946"
"4.8820","0.1626","115.9573"
"5.0380","0.1675","121.0119"
"5.1540","0.1719","126.0326"
"5.3180","0.1775","131.0959"
"5.4820","0.1833","136.1259"
"5.6480","0.1889","141.2115"
"5.8200","0.1944","146.2505"
"5.9740","0.1995","151.2770"
"6.1440","0.2044","156.3145"
"6.3080","0.2102","161.3209"
"6.4440","0.2144","166.3335"
"6.5900","0.2197","171.3420"
"6.7280","0.2248","176.3843"
"6.9020","0.2306","181.3843"
"7.0620","0.2361","186.3876"
"7.2220","0.2404","191.4026"
"7.3820","0.2459","196.4383"
"7.5140","0.2501","201.4519"
"7.6700","0.2556","206.4851"
"7.8180","0.2609","211.5126"
"7.9780","0.2665","216.5367"
"8.1320","0.2718","221.6481"
"8.3040","0.2769","226.6548"
"8.4540","0.2816","231.6720"
"8.6100","0.2865","236.6874"
"8.7300","0.2911","241.7367"
"8.8740","0.2963","246.7464"
"9.0560","0.3024","251.8191"
"9.2020","0.3074","256.8734"
"9.3860","0.3131","261.9269"
"9.5180","0.3171","266.9703"
"9.6820","0.3223","271.9883"
"9.8380","0.3276","276.9886"
"9.9480","0.3321","282.0267"
"10.1280","0.3381","287.1329"
"10.2700","0.3429","292.1765"
"10.4540","0.3486","297.2528"
"10.6100","0.3538","302.3380"
"10.7500","0.3578","307.3393"
"10.8840","0.3627","312.3566"
"11.0240","0.3680","317.3781"
"11.1960","0.3737","322.4604"
"11.3500","0.3790","327.4744"
"11.5080","0.3834","332.4885"
"11.6600","0.3884","337.5434"
"11.8140","0.3933","342.5748"
"11.9400","0.3981","347.6083"
"12.0900","0.4036","352.6776"
"12.2500","0.4088","357.6995"
"12.4140","0.4144","362.7804"
"12.5780","0.4190","367.8076"
"12.7160","0.4234","372.8635"
"12.8420","0.4279","377.9033"
"12.9840","0.4333","382.9964"
"13.1460","0.4389","388.0770"
"13.3140","0.4441","393.0859"
"13.4640","0.4489","398.1643"
"13.6080","0.4531","403.1834"
"13.7600","0.4583","408.1938"
"13.8760","0.4631","413.2208"
"14.0520","0.4690","418.2494"
"14.1960","0.4738","423.3023"
"14.3500","0.4780","428.3042"
"14.5080","0.4832","433.3398"
"14.6140","0.4872","438.3899"
"14.7840","0.4933","443.4441"
"14.9260","0.4983","448.5958"
"14.9520","0.4989","450.0158"
"14.9540","0.4989","450.0771"
"15.0600","0.5016","451.8441"
"15.3200","0.4938","446.8019"
"15.4140","0.4907","441.7650"
"15.5760","0.4851","436.7646"
"15.6880","0.4804","431.7548"
"15.8380","0.4753","426.7097"
"15.9940","0.4707","421.6375"
"16.1480","0.4657","416.6370"
"16.2620","0.4621","411.6366"
"16.3980","0.4566","406.6093"
"16.5420","0.4519","401.5106"
"16.6940","0.4476","396.4848"
"16.8520","0.4424","391.4469"
"16.9520","0.4388","386.4340"
"17.1100","0.4329","381.4299"
"17.2540","0.4283","376.4053"
"17.4160","0.4234","371.3546"
"17.5600","0.4189","366.3539"
"17.6660","0.4150","361.3199"
"17.8200","0.4092","356.3195"
"17.9600","0.4048","351.2693"
"18.1240","0.3999","346.2124"
"18.2620","0.3954","341.2005"
"18.3820","0.3912","336.1740"
"18.5320","0.3854","331.1585"
"18.6820","0.3806","326.1365"
"18.8400","0.3760","321.0849"
"18.9940","0.3710","316.0070"
"19.0880","0.3676","310.9532"
"19.2460","0.3616","305.9115"
"19.3960","0.3568","300.8718"
"19.5540","0.3523","295.7896"
"19.7020","0.3475","290.7218"
"19.8020","0.3437","285.7210"
"19.9700","0.3376","280.6660"
"20.1180","0.3326","275.6180"
"20.2760","0.3279","270.5809"
"20.4120","0.3238","265.5742"
"20.5180","0.3199","260.5495"
"20.6820","0.3137","255.4713"
"20.8320","0.3089","250.4397"
"20.9940","0.3040","245.3292"
"21.1320","0.2998","240.2673"
"21.2840","0.2948","235.2452"
"21.4040","0.2898","230.1209"
"21.5640","0.2846","225.0659"
"21.7140","0.2798","219.9686"
"21.8640","0.2752","214.9550"
"22.0220","0.2702","209.9550"
"22.1200","0.2660","204.8673"
"22.2820","0.2607","199.8565"
"22.4300","0.2559","194.8110"
"22.5900","0.2507","189.7305"
"22.7440","0.2461","184.7303"
"22.8560","0.2419","179.6786"
"23.0060","0.2367","174.6029"
"23.1600","0.2312","169.5206"
"23.3160","0.2262","164.4703"
"23.4820","0.2213","159.4512"
