Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0174"
"4.9660","0.1654","5.0535"
"5.1020","0.1706","10.1154"
"5.2860","0.1767","15.1820"
"5.4480","0.1823","20.2532"
"5.6240","0.1881","25.3492"
"5.7840","0.1936","30.3861"
"5.9420","0.1979","35.4469"
"6.0980","0.2031","40.4508"
"6.2640","0.2084","45.4635"
"6.3980","0.2132","50.5111"
"6.5520","0.2186","55.5483"
"6.7100","0.2242","60.5713"
"6.8680","0.2296","65.6196"
"7.0540","0.2357","70.6708"
"7.1960","0.2403","75.7708"
"7.3760","0.2458","80.8425"
"7.5000","0.2496","85.8686"
"7.6740","0.2554","90.8892"
"7.8280","0.2609","95.9322"
"7.9540","0.2658","101.0054"
"8.1400","0.2718","106.0654"
"8.2900","0.2771","111.1337"
"8.4780","0.2831","116.2498"
"8.6360","0.2886","121.3277"
"8.8020","0.2933","126.3822"
"8.9720","0.2993","131.4231"
"9.1440","0.3045","136.4469"
"9.3080","0.3100","141.5174"
"9.4680","0.3152","146.5225"
"9.6080","0.3202","151.5629"
"9.7760","0.3259","156.5699"
"9.9640","0.3321","161.5749"
"10.1020","0.3373","166.6390"
"10.2840","0.3433","171.6615"
"10.4420","0.3489","176.7272"
"10.6240","0.3547","181.7940"
"10.7900","0.3604","186.8735"
"10.9540","0.3652","191.9180"
"11.1240","0.3711","196.9829"
"11.2960","0.3763","202.0143"
"11.4600","0.3819","207.0153"
"11.6280","0.3872","212.0653"
"11.7700","0.3921","217.0783"
"11.9080","0.3971","222.1228"
"12.0980","0.4033","227.1237"
"12.2340","0.4085","232.1707"
"12.4160","0.4144","237.2465"
"12.5700","0.4198","242.2798"
"12.7440","0.4249","247.3401"
"12.9240","0.4314","252.4002"
"13.0820","0.4358","257.4271"
"13.2600","0.4421","262.4308"
"13.3960","0.4461","267.4311"
"13.5880","0.4527","272.4742"
"13.7540","0.4581","277.4803"
"13.8620","0.4625","282.4982"
"14.0260","0.4682","287.5926"
"14.1920","0.4736","292.6644"
"14.3600","0.4794","297.6847"
"14.5320","0.4846","302.7508"
"14.6820","0.4894","307.7658"
"14.8420","0.4943","312.7664"
"15.0080","0.4999","317.7807"
"15.1360","0.5046","322.7975"
"15.2960","0.5102","327.8003"
"15.4440","0.5156","332.8364"
"15.6200","0.5212","337.8368"
"15.7800","0.5267","342.8699"
"15.9460","0.5314","347.9544"
"16.1080","0.5369","353.0489"
"16.2380","0.5409","358.0491"
"16.4060","0.5467","363.0671"
"16.5400","0.5517","368.0818"
"16.7040","0.5573","373.1119"
"16.8580","0.5627","378.1173"
"17.0140","0.5670","383.1185"
"17.1800","0.5727","388.2013"
"17.3320","0.5773","393.2202"
"17.4540","0.5819","398.2707"
