Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0096"
"0.4240","0.0144","5.0069"
"0.5780","0.0189","10.0690"
"0.9980","0.0339","15.1500"
"1.1800","0.0399","20.1630"
"1.3800","0.0463","25.1680"
"1.6440","0.0544","30.1752"
"1.8400","0.0615","35.2318"
"2.0300","0.0677","40.2479"
"2.2120","0.0741","45.2742"
"2.4120","0.0809","50.3051"
"2.5920","0.0871","55.4133"
"2.7780","0.0931","60.5050"
"2.9460","0.0989","65.5072"
"3.1480","0.1054","70.5699"
"3.2980","0.1107","75.6590"
"3.4880","0.1169","80.6918"
"3.6420","0.1219","85.7735"
"3.8280","0.1278","90.7933"
"3.9960","0.1336","95.8992"
"4.1340","0.1374","100.9065"
"4.3100","0.1433","105.9516"
"4.4340","0.1477","110.9738"
"4.6140","0.1538","116.0191"
"4.7580","0.1591","121.1008"
"4.9200","0.1646","126.1013"
"5.0860","0.1703","131.1492"
"5.2540","0.1753","136.1706"
"5.4160","0.1809","141.1800"
"5.5740","0.1854","146.1947"
"5.7180","0.1902","151.2120"
"5.8560","0.1952","156.2186"
"6.0280","0.2011","161.2431"
"6.1720","0.2064","166.3421"
"6.3500","0.2122","171.3877"
"6.4980","0.2171","176.3925"
"6.6680","0.2221","181.4265"
"6.8260","0.2274","186.4375"
"6.9520","0.2315","191.4869"
"7.1060","0.2368","196.5152"
"7.2460","0.2422","201.5225"
"7.4260","0.2481","206.6111"
"7.5820","0.2535","211.6149"
"7.7500","0.2584","216.6764"
"7.9000","0.2632","221.7247"
"8.0640","0.2684","226.7267"
"8.1860","0.2728","231.7578"
"8.3320","0.2781","236.8090"
"8.4980","0.2838","241.9464"
"8.6480","0.2890","246.9786"
"8.8340","0.2948","252.0089"
"8.9740","0.2991","257.0944"
"9.1480","0.3045","262.1318"
"9.2520","0.3084","267.1967"
"9.4180","0.3141","272.2034"
"9.5840","0.3198","277.2542"
"9.7220","0.3248","282.3290"
"9.9020","0.3303","287.3622"
"10.0280","0.3340","292.3765"
"10.2100","0.3399","297.3978"
"10.3460","0.3446","302.4042"
"10.4700","0.3495","307.4737"
"10.6440","0.3553","312.5749"
"10.7960","0.3606","317.5856"
"10.9640","0.3656","322.5874"
"11.1140","0.3704","327.6076"
"11.2420","0.3744","332.6083"
"11.3820","0.3796","337.6807"
"11.5360","0.3851","342.7488"
"11.7020","0.3906","347.8060"
"11.8620","0.3961","352.9077"
"12.0140","0.4001","357.9484"
"12.1860","0.4060","363.0002"
"12.3240","0.4104","368.0036"
"12.4440","0.4152","373.0829"
"12.5960","0.4206","378.2102"
"12.7600","0.4256","383.2265"
"12.9180","0.4310","388.2971"
"13.0840","0.4358","393.3278"
"13.2180","0.4402","398.3523"
"13.3440","0.4449","403.4077"
"13.5180","0.4509","408.4579"
"13.6580","0.4560","413.5590"
"13.8380","0.4617","418.5976"
"13.9780","0.4660","423.6427"
"14.1220","0.4703","428.6733"
"14.2820","0.4757","433.6927"
"14.3960","0.4804","438.7740"
"14.5740","0.4864","443.8289"
"14.7180","0.4913","448.8849"
"14.7400","0.4921","450.0441"
"14.7420","0.4921","450.1210"
"14.8440","0.4944","452.2317"
"15.1000","0.4866","447.1063"
"15.2060","0.4831","442.0701"
"15.3660","0.4778","437.0461"
"15.4760","0.4735","432.0243"
"15.6180","0.4684","427.0225"
"15.7780","0.4630","421.9169"
"15.9320","0.4581","416.9156"
"16.0760","0.4541","411.8894"
"16.2000","0.4495","406.8791"
"16.3300","0.4447","401.8413"
"16.4920","0.4393","396.7801"
"16.6500","0.4341","391.7092"
"16.7880","0.4303","386.6866"
"16.9320","0.4252","381.6304"
"17.0520","0.4208","376.6020"
"17.2160","0.4149","371.5437"
"17.3720","0.4099","366.4502"
"17.5160","0.4060","361.4024"
"17.6480","0.4015","356.3957"
"17.7680","0.3969","351.3358"
"17.9360","0.3909","346.2298"
"18.0900","0.3859","341.1901"
"18.2420","0.3816","336.1006"
"18.3800","0.3771","331.0489"
"18.5160","0.3726","326.0372"
"18.6580","0.3669","321.0033"
"18.8160","0.3616","315.9477"
"18.9620","0.3576","310.8604"
"19.1080","0.3528","305.8573"
"19.2540","0.3481","300.8572"
"19.3760","0.3430","295.8184"
"19.5360","0.3378","290.7204"
"19.6840","0.3333","285.7106"
"19.8460","0.3279","280.7017"
"19.9940","0.3235","275.6732"
"20.1060","0.3189","270.6446"
"20.2580","0.3137","265.5732"
"20.4100","0.3089","260.5163"
"20.5740","0.3034","255.4494"
