Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0029"
"1.4480","0.0488","5.0468"
"1.6140","0.0543","10.1005"
"1.7820","0.0601","15.2028"
"1.9600","0.0657","20.2741"
"2.1180","0.0710","25.2811"
"2.2940","0.0762","30.3062"
"2.4220","0.0804","35.3082"
"2.5620","0.0853","40.3540"
"2.7240","0.0910","45.3857"
"2.8740","0.0964","50.3860"
"3.0520","0.1023","55.5053"
"3.2060","0.1076","60.5844"
"3.3800","0.1127","65.5972"
"3.5520","0.1189","70.6347"
"3.6960","0.1228","75.6612"
"3.8620","0.1284","80.6624"
"3.9620","0.1323","85.7077"
"4.1420","0.1384","90.7235"
"4.3060","0.1441","95.7660"
"4.4660","0.1494","100.8548"
"4.6340","0.1552","105.8775"
"4.7900","0.1594","110.9156"
"4.9560","0.1652","115.9864"
"5.0980","0.1695","121.0180"
"5.2140","0.1741","126.0388"
"5.3700","0.1796","131.0498"
"5.5320","0.1848","136.0804"
"5.6900","0.1901","141.1855"
"5.8460","0.1944","146.2170"
"5.9760","0.1989","151.2174"
"6.1100","0.2038","156.2300"
"6.2800","0.2098","161.3035"
"6.4240","0.2148","166.4388"
"6.5960","0.2201","171.4814"
"6.7340","0.2243","176.4928"
"6.8880","0.2292","181.5105"
"7.0220","0.2340","186.5130"
"7.1520","0.2391","191.6204"
"7.3280","0.2448","196.7333"
"7.4760","0.2497","201.8055"
"7.6420","0.2545","206.8901"
"7.7880","0.2592","211.9349"
"7.9060","0.2635","216.9615"
"8.0560","0.2691","222.0063"
"8.2140","0.2746","227.0605"
"8.3700","0.2789","232.0718"
"8.5140","0.2836","237.0818"
"8.6340","0.2876","242.1026"
"8.7780","0.2930","247.1550"
"8.9400","0.2986","252.2380"
"9.0920","0.3033","257.3366"
"9.2520","0.3086","262.3882"
"9.3700","0.3120","267.4020"
"9.5240","0.3174","272.4390"
"9.6660","0.3227","277.4935"
"9.8160","0.3275","282.5267"
"9.9660","0.3325","287.5640"
"10.0900","0.3359","292.5831"
"10.2460","0.3414","297.6054"
"10.3780","0.3464","302.6819"
"10.5400","0.3518","307.7911"
"10.6920","0.3569","312.8993"
"10.8600","0.3618","317.9337"
"10.9760","0.3656","322.9773"
"11.1040","0.3704","328.0233"
"11.2560","0.3758","333.0840"
"11.4100","0.3809","338.1564"
"11.5760","0.3856","343.2117"
"11.6980","0.3895","348.2495"
"11.8280","0.3944","353.2885"
"11.9760","0.3998","358.3356"
"12.1340","0.4051","363.3432"
"12.3000","0.4099","368.4026"
"12.4260","0.4139","373.4144"
"12.5400","0.4182","378.4451"
"12.6960","0.4238","383.4544"
"12.8460","0.4289","388.4615"
"13.0100","0.4335","393.4747"
"13.1460","0.4378","398.5361"
"13.2540","0.4420","403.5506"
"13.4240","0.4479","408.5534"
"13.5620","0.4527","413.5650"
"13.7320","0.4578","418.6012"
"13.8580","0.4616","423.6048"
"13.9680","0.4658","428.6378"
