Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0084"
"1.3700","0.0461","5.0335"
"1.5340","0.0517","10.1479"
"1.6980","0.0574","15.1837"
"1.8720","0.0629","20.2641"
"2.0300","0.0681","25.3093"
"2.2000","0.0731","30.3604"
"2.3220","0.0771","35.3745"
"2.4520","0.0819","40.3920"
"2.6220","0.0878","45.4507"
"2.7720","0.0932","50.4652"
"2.9480","0.0987","55.4827"
"3.0940","0.1034","60.5376"
"3.2540","0.1081","65.5496"
"3.4320","0.1143","70.5787"
"3.5420","0.1179","75.6178"
"3.7040","0.1238","80.6659"
"3.8420","0.1289","85.7064"
"4.0240","0.1346","90.7331"
"4.1880","0.1403","95.7799"
"4.3400","0.1444","100.7841"
"4.5120","0.1504","105.8033"
"4.6440","0.1545","110.8104"
"4.8240","0.1604","115.8296"
"4.9480","0.1653","120.8349"
"5.1040","0.1708","125.8716"
"5.2680","0.1764","130.9588"
"5.4340","0.1813","135.9870"
"5.5980","0.1871","141.0630"
"5.7580","0.1915","146.1025"
"5.9000","0.1963","151.1192"
"6.0340","0.2012","156.1559"
"6.2100","0.2071","161.1936"
"6.3520","0.2124","166.3055"
"6.5300","0.2183","171.4165"
"6.6760","0.2231","176.4326"
"6.8500","0.2283","181.4845"
"7.0080","0.2336","186.5032"
"7.1300","0.2374","191.5229"
"7.2800","0.2428","196.5786"
"7.4220","0.2481","201.5879"
"7.6000","0.2539","206.6198"
"7.7580","0.2593","211.6576"
"7.9220","0.2640","216.7179"
"8.0640","0.2686","221.7316"
"8.2300","0.2739","226.7569"
"8.3400","0.2783","231.7586"
"8.4920","0.2838","236.7683"
"8.6600","0.2891","241.8241"
"8.8060","0.2939","246.8328"
"8.9900","0.2995","251.8858"
"9.1140","0.3034","256.9160"
"9.2700","0.3088","261.9249"
"9.3940","0.3137","266.9779"
"9.5560","0.3193","272.0543"
"9.7300","0.3248","277.1232"
"9.8640","0.3287","282.1858"
"10.0220","0.3336","287.2562"
"10.1240","0.3379","292.3474"
"10.2860","0.3435","297.4245"
"10.4560","0.3490","302.4776"
"10.6000","0.3538","307.5398"
"10.7580","0.3583","312.5851"
"10.9080","0.3632","317.6059"
"11.0200","0.3676","322.6186"
"11.1780","0.3732","327.7193"
"11.3240","0.3781","332.8197"
"11.4860","0.3827","337.8260"
"11.6420","0.3879","342.8478"
"11.7700","0.3920","347.8542"
"11.9120","0.3974","352.9277"
"12.0500","0.4025","357.9661"
"12.2280","0.4081","363.0050"
"12.3820","0.4130","368.0158"
"12.5180","0.4168","373.0645"
"12.6400","0.4214","378.0842"
"12.7760","0.4266","383.1181"
"12.9520","0.4323","388.1639"
"13.1020","0.4374","393.1670"
"13.2620","0.4418","398.2246"
"13.3940","0.4461","403.2602"
"13.5460","0.4514","408.2739"
"13.6800","0.4565","413.3186"
"13.8380","0.4620","418.3497"
"13.9920","0.4663","423.3646"
"14.1260","0.4705","428.3832"
"14.2820","0.4757","433.4042"
"14.3980","0.4806","438.4427"
"14.5600","0.4861","443.4693"
"14.7160","0.4907","448.4916"
"14.7460","0.4921","450.0635"
"14.7480","0.4922","450.1436"
"14.8620","0.4953","453.1115"
"15.1140","0.4872","448.0271"
"15.2280","0.4838","442.9702"
"15.3560","0.4790","437.9643"
"15.4820","0.4742","432.9051"
"15.6420","0.4687","427.7870"
"15.7900","0.4641","422.7062"
"15.9180","0.4606","417.6582"
"16.0400","0.4558","412.6310"
"16.1840","0.4507","407.6145"
"16.3440","0.4455","402.5806"
"16.4840","0.4414","397.4944"
"16.6240","0.4370","392.4694"
"16.7400","0.4321","387.4236"
"16.8980","0.4269","382.4117"
"17.0480","0.4222","377.3247"
"17.1920","0.4179","372.2668"
"17.3120","0.4139","367.2603"
"17.4420","0.4086","362.2562"
"17.6040","0.4034","357.2005"
"17.7460","0.3994","352.1477"
"17.8820","0.3950","347.1192"
"18.0080","0.3905","342.1139"
"18.1560","0.3849","337.0803"
"18.3080","0.3798","331.9942"
"18.4540","0.3758","326.9306"
"18.5740","0.3717","321.9120"
"18.7280","0.3666","316.9111"
"18.8600","0.3614","311.8767"
"19.0140","0.3565","306.7601"
"19.1540","0.3527","301.7492"
"19.2680","0.3483","296.7050"
"19.4460","0.3428","291.6962"
"19.5680","0.3379","286.6079"
"19.7260","0.3327","281.5831"
"19.8580","0.3292","276.5764"
"19.9820","0.3246","271.5558"
"20.1280","0.3194","266.5208"
"20.2740","0.3145","261.4190"
"20.4340","0.3093","256.3704"
"20.5620","0.3057","251.3516"
"20.6980","0.3007","246.3434"
"20.8340","0.2958","241.3168"
"20.9920","0.2904","236.2252"
"21.1440","0.2856","231.1761"
"21.2980","0.2812","226.1562"
"21.3980","0.2771","221.0871"
"21.5440","0.2721","216.0832"
"21.7020","0.2669","211.0173"
"21.8500","0.2624","206.0102"
"22.0080","0.2575","200.9536"
"22.1040","0.2534","195.9477"
"22.2640","0.2482","190.9003"
"22.4180","0.2430","185.8713"
"22.5720","0.2381","180.8028"
"22.7260","0.2336","175.7467"
"22.8200","0.2296","170.6982"
"22.9740","0.2244","165.5745"
"23.1360","0.2190","160.5547"
"23.2880","0.2142","155.5489"
"23.4400","0.2098","150.4998"
"23.5520","0.2056","145.4908"
"23.6920","0.2006","140.4842"
"23.8660","0.1945","135.4016"
"24.0060","0.1902","130.3968"
"24.1700","0.1854","125.3316"
"24.2600","0.1817","120.2555"
"24.4100","0.1768","115.1936"
"24.5820","0.1706","110.1920"
"24.7240","0.1662","105.1019"
"24.8940","0.1609","100.0554"
"24.9980","0.1576","95.0351"
"25.1840","0.1516","89.9904"
"25.3100","0.1464","84.8729"
"25.4560","0.1416","79.7709"
"25.6240","0.1363","74.7657"
"25.7620","0.1322","69.7487"
"25.9300","0.1268","64.6996"
"26.0480","0.1223","59.6330"
"26.1960","0.1171","54.5875"
"26.3660","0.1112","49.5616"
"26.5340","0.1057","44.4935"
"26.7000","0.1003","39.4689"
"26.8640","0.0949","34.4243"
"27.0140","0.0907","29.3990"
"27.1860","0.0848","24.3973"
"27.3480","0.0796","19.3610"
"27.4680","0.0747","14.2926"
"27.6560","0.0689","9.2753"
"27.7940","0.0636","4.9927"
"27.7960","0.0635","4.8790"
"27.9040","0.0609","3.1032"
"28.1660","0.0693","8.1480"
"28.3160","0.0746","13.1681"
"28.4540","0.0790","18.2485"
"28.6100","0.0837","23.2577"
"28.7320","0.0883","28.2957"
"28.8860","0.0937","33.3222"
"29.0580","0.0996","38.3239"
"29.2000","0.1046","43.3746"
"29.3760","0.1099","48.4198"
"29.5300","0.1151","53.4430"
"29.6880","0.1197","58.4535"
"29.8100","0.1241","63.4552"
"29.9380","0.1291","68.4886"
"30.1140","0.1349","73.5699"
"30.2640","0.1399","78.6115"
"30.4280","0.1446","83.6390"
"30.5620","0.1489","88.6764"
"30.6800","0.1534","93.6933"
"30.8380","0.1589","98.7446"
"30.9980","0.1646","103.7622"
"31.1460","0.1686","108.8563"
"31.2900","0.1733","113.8978"
"31.3980","0.1773","118.9054"
"31.5540","0.1828","123.9346"
"31.7140","0.1884","129.0663"
"31.8620","0.1924","134.1460"
"32.0200","0.1978","139.1818"
"32.1600","0.2022","144.1851"
"32.2820","0.2069","149.2399"
"32.4320","0.2123","154.2747"
"32.5820","0.2166","159.3463"
"32.7320","0.2215","164.3613"
"32.8780","0.2261","169.4037"
"32.9980","0.2308","174.4606"
"33.1460","0.2361","179.5645"
"33.3060","0.2411","184.5824"
"33.4560","0.2459","189.6118"
"33.6140","0.2506","194.6123"
"33.7160","0.2546","199.6530"
"33.8680","0.2601","204.7396"
"34.0200","0.2648","209.7554"
"34.1740","0.2699","214.7758"
"34.3260","0.2743","219.8005"
"34.4260","0.2783","224.8780"
"34.5780","0.2838","229.9695"
"34.7380","0.2888","234.9889"
"34.8920","0.2940","240.0355"
"35.0400","0.2981","245.0946"
"35.1500","0.3024","250.1174"
"35.2920","0.3076","255.1894"
"35.4600","0.3131","260.2251"
"35.6040","0.3176","265.2308"
"35.7460","0.3216","270.2566"
"35.8620","0.3261","275.3114"
"36.0040","0.3313","280.4011"
"36.1820","0.3372","285.5129"
"36.3160","0.3413","290.5197"
"36.4740","0.3459","295.5820"
"36.5820","0.3500","300.5949"
"36.7220","0.3553","305.6319"
"36.8940","0.3609","310.6457"
"37.0260","0.3648","315.7483"
"37.1780","0.3694","320.7550"
"37.2900","0.3737","325.7881"
"37.4380","0.3791","330.8210"
"37.6060","0.3846","335.8384"
"37.7440","0.3888","340.8553"
"37.8980","0.3934","345.8842"
"38.0480","0.3984","350.9245"
"38.1520","0.4029","355.9841"
"38.3240","0.4086","361.1008"
"38.4640","0.4129","366.1857"
"38.6120","0.4172","371.2145"
"38.7580","0.4221","376.2376"
"38.8700","0.4268","381.3116"
"39.0460","0.4327","386.3769"
"39.1840","0.4372","391.4378"
"39.3580","0.4423","396.5156"
"39.4940","0.4466","401.5317"
"39.5920","0.4507","406.5795"
"39.7620","0.4564","411.6598"
"39.9040","0.4612","416.7084"
"40.0720","0.4661","421.7392"
"40.2040","0.4703","426.7506"
"40.3200","0.4748","431.8040"
"40.4760","0.4804","436.9183"
"40.6340","0.4857","441.9192"
"40.7900","0.4901","446.9383"
"40.8420","0.4924","450.0198"
"40.8440","0.4924","450.0920"
"40.9440","0.4952","452.3369"
"41.1940","0.4873","447.3325"
"41.3040","0.4839","442.2793"
"41.4480","0.4788","437.2676"
"41.5680","0.4742","432.2008"
"41.7220","0.4687","427.1172"
"41.8680","0.4642","422.0173"
"42.0120","0.4601","417.0059"
"42.1220","0.4558","412.0021"
"42.2700","0.4506","406.9706"
"42.4220","0.4457","401.9454"
"42.5600","0.4416","396.8738"
"42.7140","0.4367","391.8511"
"42.8180","0.4321","386.7788"
"42.9780","0.4269","381.7230"
