Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
48:36,0.00,0.2,,9.348,2,4.9948,,,,
48:37,1.00,3.5,,9.968,2.62,9.9963,,,,
48:37,1.00,3.9,,10.224,2.876,15.0007,,,,
48:38,2.00,4.2,,10.476,3.128,20.0136,,,48:36,2916
48:38,2.00,5,,10.73,3.382,25.0481,,,48:37,
48:39,3.00,5.1,,10.932,3.584,30.0879,,,48:37,
48:39,3.00,5.1,,11.122,3.774,35.1209,,,48:38,
48:40,4.00,5.5,,11.32,3.972,40.1484,,,48:38,
48:40,4.00,5.5,,11.552,4.204,45.1633,,,48:39,
48:41,5.00,5.6,,11.78,4.432,50.2241,,,48:39,
48:41,5.00,7.4,,11.972,4.624,55.3146,,,48:40,
48:42,6.00,14.8,,12.158,4.81,60.326,,,48:40,
48:42,6.00,26.3,,12.334,4.986,65.3584,,,,
48:43,7.00,37,,12.536,5.188,70.3798,,,,
48:43,7.00,50.3,,12.698,5.35,75.4496,,,,
48:44,8.00,62.3,,12.898,5.55,80.52,,,,
48:44,8.00,77.3,,13.054,5.706,85.5471,,,,
48:45,9.00,89.7,,13.244,5.896,90.5942,,,,
48:45,9.00,105.4,,13.424,6.076,95.6151,,,,
48:46,10.00,118.6,,13.598,6.25,100.6963,,,,
48:46,10.00,134.4,,13.778,6.43,105.71,,,,
48:47,11.00,147.9,,13.946,6.598,110.7359,,,,
48:47,11.00,163.9,,14.13,6.782,115.7587,,,,
48:48,12.00,177.7,,14.316,6.968,120.8359,,,,
48:48,12.00,194.2,,14.468,7.12,125.8627,,,,
48:49,13.00,208.2,,14.656,7.308,130.8633,,,,
48:49,13.00,225.3,,14.806,7.458,135.8878,,,,
48:50,14.00,239.3,,15.008,7.66,140.9569,,,,
48:50,14.00,256.8,,15.166,7.818,145.9939,,,,
48:51,15.00,271.5,,15.336,7.988,151.0353,,,,
48:51,15.00,288.8,,15.504,8.156,156.0851,,,,
48:52,16.00,306.5,,15.686,8.338,161.1081,,,,
48:52,16.00,321.1,,15.84,8.492,166.1183,,,,
48:53,17.00,339,,16.014,8.666,171.1588,,,,
48:53,17.00,353.9,,16.14,8.792,176.2322,,,,
48:54,18.00,371.9,,16.306,8.958,181.2395,,,,
48:54,18.00,387.1,,16.49,9.142,186.2921,,,,
48:55,19.00,405.1,,16.646,9.298,191.3811,,,,
