Time,Weight (N)
2024-03-05 15:15:59,-9000.00
2024-03-05 15:16:01,-0.0
2024-03-05 15:16:01,-0.0
2024-03-05 15:16:02,-0.0
2024-03-05 15:16:02,-0.0
2024-03-05 15:16:03,-0.0
2024-03-05 15:16:03,-0.0
2024-03-05 15:16:04,11.4
2024-03-05 15:16:04,25.5
2024-03-05 15:16:05,43.0
2024-03-05 15:16:05,57.3
2024-03-05 15:16:06,74.9
2024-03-05 15:16:06,89.5
2024-03-05 15:16:07,106.7
2024-03-05 15:16:07,121.0
2024-03-05 15:16:08,137.4
2024-03-05 15:16:08,151.3
2024-03-05 15:16:09,167.8
2024-03-05 15:16:09,181.5
2024-03-05 15:16:10,198.3
2024-03-05 15:16:10,212.1
2024-03-05 15:16:11,229.1
2024-03-05 15:16:11,243.4
2024-03-05 15:16:12,259.9
2024-03-05 15:16:12,273.8
2024-03-05 15:16:13,290.8
2024-03-05 15:16:13,305.5
2024-03-05 15:16:14,323.0
2024-03-05 15:16:14,337.1
2024-03-05 15:16:15,354.9
2024-03-05 15:16:15,369.5
2024-03-05 15:16:16,387.4
2024-03-05 15:16:16,402.9
2024-03-05 15:16:17,421.3
2024-03-05 15:16:17,436.9
2024-03-05 15:16:18,453.7
2024-03-05 15:16:18,436.6
2024-03-05 15:16:19,416.8
2024-03-05 15:16:19,400.7
2024-03-05 15:16:20,381.1
2024-03-05 15:16:20,364.9
2024-03-05 15:16:21,345.9
2024-03-05 15:16:21,330.2
2024-03-05 15:16:22,311.4
2024-03-05 15:16:22,292.4
2024-03-05 15:16:23,276.7
2024-03-05 15:16:23,257.8
2024-03-05 15:16:24,242.3
2024-03-05 15:16:24,223.7
2024-03-05 15:16:25,208.3
2024-03-05 15:16:25,190.0
2024-03-05 15:16:26,174.4
2024-03-05 15:16:26,156.3
2024-03-05 15:16:27,141.4
2024-03-05 15:16:27,123.2
2024-03-05 15:16:28,108.2
2024-03-05 15:16:28,90.2
2024-03-05 15:16:29,75.5
2024-03-05 15:16:29,58.0
2024-03-05 15:16:30,43.8
2024-03-05 15:16:30,27.4
2024-03-05 15:16:31,14.1
2024-03-05 15:16:31,4.1
2024-03-05 15:16:32,20.2
2024-03-05 15:16:32,37.7
2024-03-05 15:16:33,52.3
2024-03-05 15:16:33,69.5
2024-03-05 15:16:34,84.1
2024-03-05 15:16:34,101.7
2024-03-05 15:16:35,116.5
2024-03-05 15:16:35,134.5
2024-03-05 15:16:36,149.2
2024-03-05 15:16:36,167.3
2024-03-05 15:16:37,182.5
2024-03-05 15:16:37,200.6
2024-03-05 15:16:38,215.9
2024-03-05 15:16:38,234.1
2024-03-05 15:16:39,249.4
2024-03-05 15:16:39,267.8
2024-03-05 15:16:40,283.2
2024-03-05 15:16:41,301.8
2024-03-05 15:16:41,317.2
2024-03-05 15:16:41,336.4
2024-03-05 15:16:42,352.5
2024-03-05 15:16:42,371.5
2024-03-05 15:16:43,390.6
2024-03-05 15:16:43,406.4
2024-03-05 15:16:44,425.7
2024-03-05 15:16:44,441.3
2024-03-05 15:16:45,444.0
2024-03-05 15:16:46,426.9
2024-03-05 15:16:46,407.1
2024-03-05 15:16:46,390.8
2024-03-05 15:16:47,371.2
2024-03-05 15:16:48,354.9
2024-03-05 15:16:48,335.7
2024-03-05 15:16:49,319.2
2024-03-05 15:16:49,300.1
2024-03-05 15:16:50,284.5
2024-03-05 15:16:50,265.6
2024-03-05 15:16:51,250.0
2024-03-05 15:16:51,231.2
2024-03-05 15:16:51,215.8
2024-03-05 15:16:52,197.3
2024-03-05 15:16:53,181.9
2024-03-05 15:16:53,163.8
2024-03-05 15:16:54,148.3
2024-03-05 15:16:54,130.3
2024-03-05 15:16:55,115.5
2024-03-05 15:16:55,97.5
2024-03-05 15:16:56,82.8
2024-03-05 15:16:56,65.4
2024-03-05 15:16:57,51.4
2024-03-05 15:16:57,34.9
2024-03-05 15:16:58,21.4
2024-03-05 15:16:58,6.5
2024-03-05 15:16:59,13.4
2024-03-05 15:16:59,30.4
2024-03-05 15:17:00,44.0
2024-03-05 15:17:00,61.1
2024-03-05 15:17:01,75.4
2024-03-05 15:17:01,93.1
2024-03-05 15:17:02,108.1
2024-03-05 15:17:02,125.8
2024-03-05 15:17:03,144.0
2024-03-05 15:17:03,158.8
2024-03-05 15:17:04,177.2
2024-03-05 15:17:04,192.5
2024-03-05 15:17:05,210.8
2024-03-05 15:17:05,226.3
2024-03-05 15:17:06,244.5
2024-03-05 15:17:06,260.0
2024-03-05 15:17:07,278.4
2024-03-05 15:17:07,294.0
2024-03-05 15:17:08,313.2
2024-03-05 15:17:08,328.8
2024-03-05 15:17:09,348.1
2024-03-05 15:17:09,364.3
2024-03-05 15:17:10,383.3
