Time,Weight (N)
2024-03-05 14:56:09,-9000.00
2024-03-05 14:56:11,-0.0
2024-03-05 14:56:11,-0.0
2024-03-05 14:56:12,-0.0
2024-03-05 14:56:12,-0.0
2024-03-05 14:56:13,-0.0
2024-03-05 14:56:13,-0.0
2024-03-05 14:56:14,-0.0
2024-03-05 14:56:14,0.1
2024-03-05 14:56:15,8.4
2024-03-05 14:56:15,17.5
2024-03-05 14:56:16,31.7
2024-03-05 14:56:16,44.1
2024-03-05 14:56:17,58.8
2024-03-05 14:56:17,71.4
2024-03-05 14:56:18,86.1
2024-03-05 14:56:18,98.6
2024-03-05 14:56:19,113.9
2024-03-05 14:56:19,126.2
2024-03-05 14:56:20,141.5
2024-03-05 14:56:20,154.5
2024-03-05 14:56:21,170.0
2024-03-05 14:56:21,183.2
2024-03-05 14:56:22,199.0
2024-03-05 14:56:22,212.7
2024-03-05 14:56:23,229.3
2024-03-05 14:56:23,243.2
2024-03-05 14:56:24,260.3
2024-03-05 14:56:24,274.2
2024-03-05 14:56:25,291.5
2024-03-05 14:56:25,306.0
2024-03-05 14:56:26,323.2
2024-03-05 14:56:26,337.7
2024-03-05 14:56:27,355.1
2024-03-05 14:56:27,370.0
2024-03-05 14:56:28,387.6
2024-03-05 14:56:28,402.3
2024-03-05 14:56:29,420.4
2024-03-05 14:56:29,434.9
2024-03-05 14:56:30,452.8
2024-03-05 14:56:30,441.7
2024-03-05 14:56:31,421.9
2024-03-05 14:56:31,405.9
2024-03-05 14:56:32,386.5
2024-03-05 14:56:32,370.5
2024-03-05 14:56:33,351.3
2024-03-05 14:56:33,332.1
2024-03-05 14:56:34,316.5
2024-03-05 14:56:34,297.4
2024-03-05 14:56:35,281.5
2024-03-05 14:56:35,262.6
2024-03-05 14:56:36,247.0
2024-03-05 14:56:36,228.4
2024-03-05 14:56:37,212.6
2024-03-05 14:56:37,194.3
2024-03-05 14:56:38,178.7
2024-03-05 14:56:38,160.3
2024-03-05 14:56:39,145.4
2024-03-05 14:56:39,127.3
2024-03-05 14:56:40,112.5
2024-03-05 14:56:40,95.1
2024-03-05 14:56:41,81.2
2024-03-05 14:56:41,65.3
2024-03-05 14:56:42,52.5
2024-03-05 14:56:42,38.5
2024-03-05 14:56:43,26.3
2024-03-05 14:56:43,11.3
2024-03-05 14:56:44,7.9
2024-03-05 14:56:44,26.2
2024-03-05 14:56:45,40.2
2024-03-05 14:56:45,56.6
2024-03-05 14:56:46,70.6
2024-03-05 14:56:46,87.6
2024-03-05 14:56:47,101.4
2024-03-05 14:56:47,118.6
2024-03-05 14:56:48,132.9
2024-03-05 14:56:48,150.2
2024-03-05 14:56:49,164.9
2024-03-05 14:56:49,182.4
2024-03-05 14:56:50,197.3
2024-03-05 14:56:50,215.1
2024-03-05 14:56:51,230.3
2024-03-05 14:56:51,248.6
2024-03-05 14:56:52,263.5
2024-03-05 14:56:52,282.0
2024-03-05 14:56:53,297.2
2024-03-05 14:56:53,315.8
2024-03-05 14:56:54,331.3
2024-03-05 14:56:54,349.7
2024-03-05 14:56:55,365.3
2024-03-05 14:56:55,383.8
2024-03-05 14:56:56,402.6
2024-03-05 14:56:56,418.2
2024-03-05 14:56:57,436.7
2024-03-05 14:56:57,451.4
2024-03-05 14:56:58,432.4
2024-03-05 14:56:58,416.5
2024-03-05 14:56:59,397.1
2024-03-05 14:56:59,381.0
2024-03-05 14:57:00,361.9
2024-03-05 14:57:00,346.0
2024-03-05 14:57:01,327.1
2024-03-05 14:57:01,311.0
2024-03-05 14:57:02,292.2
2024-03-05 14:57:02,276.4
2024-03-05 14:57:03,257.5
2024-03-05 14:57:03,242.0
2024-03-05 14:57:04,223.2
2024-03-05 14:57:04,207.7
2024-03-05 14:57:05,189.2
2024-03-05 14:57:05,173.8
2024-03-05 14:57:06,155.7
2024-03-05 14:57:06,140.3
2024-03-05 14:57:07,122.6
2024-03-05 14:57:07,108.1
2024-03-05 14:57:08,90.7
2024-03-05 14:57:08,76.9
2024-03-05 14:57:09,61.1
2024-03-05 14:57:09,48.8
2024-03-05 14:57:10,34.8
2024-03-05 14:57:10,22.6
2024-03-05 14:57:11,8.0
2024-03-05 14:57:11,12.1
2024-03-05 14:57:12,29.3
2024-03-05 14:57:12,43.3
2024-03-05 14:57:13,59.4
2024-03-05 14:57:13,73.1
2024-03-05 14:57:14,89.6
2024-03-05 14:57:14,103.6
2024-03-05 14:57:15,120.5
2024-03-05 14:57:15,134.9
2024-03-05 14:57:16,152.5
2024-03-05 14:57:16,166.8
2024-03-05 14:57:17,184.7
2024-03-05 14:57:17,199.7
2024-03-05 14:57:18,217.7
2024-03-05 14:57:18,235.8
2024-03-05 14:57:19,250.8
2024-03-05 14:57:19,269.5
2024-03-05 14:57:20,284.5
2024-03-05 14:57:20,303.0
2024-03-05 14:57:21,318.6
2024-03-05 14:57:21,337.0
2024-03-05 14:57:22,352.6
2024-03-05 14:57:22,371.0
2024-03-05 14:57:23,386.8
2024-03-05 14:57:23,405.7
2024-03-05 14:57:24,420.9
2024-03-05 14:57:24,439.9
2024-03-05 14:57:25,453.2
2024-03-05 14:57:25,432.0
2024-03-05 14:57:26,416.0
2024-03-05 14:57:26,396.6
2024-03-05 14:57:27,380.6
2024-03-05 14:57:27,361.5
2024-03-05 14:57:28,345.5
2024-03-05 14:57:28,326.6
2024-03-05 14:57:29,310.5
2024-03-05 14:57:29,291.7
2024-03-05 14:57:30,276.0
2024-03-05 14:57:30,257.1
2024-03-05 14:57:31,241.5
2024-03-05 14:57:31,222.7
2024-03-05 14:57:32,207.2
2024-03-05 14:57:32,188.8
2024-03-05 14:57:33,173.4
2024-03-05 14:57:33,155.3
2024-03-05 14:57:34,140.0
2024-03-05 14:57:34,122.3
2024-03-05 14:57:35,107.8
2024-03-05 14:57:35,90.4
2024-03-05 14:57:36,76.6
2024-03-05 14:57:36,60.8
2024-03-05 14:57:37,48.5
2024-03-05 14:57:37,34.6
2024-03-05 14:57:38,22.4
2024-03-05 14:57:38,7.8
2024-03-05 14:57:39,12.8
2024-03-05 14:57:39,30.0
2024-03-05 14:57:40,43.6
2024-03-05 14:57:40,59.6
2024-03-05 14:57:41,75.7
2024-03-05 14:57:41,89.5
2024-03-05 14:57:42,106.4
2024-03-05 14:57:42,120.3
2024-03-05 14:57:43,137.6
2024-03-05 14:57:43,152.3
2024-03-05 14:57:44,169.8
2024-03-05 14:57:44,184.8
2024-03-05 14:57:45,202.6
2024-03-05 14:57:45,217.8
2024-03-05 14:57:46,235.9
2024-03-05 14:57:46,251.1
2024-03-05 14:57:47,269.7
2024-03-05 14:57:47,284.7
2024-03-05 14:57:48,303.3
2024-03-05 14:57:48,318.8
2024-03-05 14:57:49,337.4
2024-03-05 14:57:49,353.0
2024-03-05 14:57:50,371.4
2024-03-05 14:57:50,387.1
2024-03-05 14:57:51,405.9
2024-03-05 14:57:51,421.4
2024-03-05 14:57:52,440.4
2024-03-05 14:57:52,452.7
2024-03-05 14:57:53,431.3
2024-03-05 14:57:53,415.3
2024-03-05 14:57:54,395.9
2024-03-05 14:57:54,379.9
2024-03-05 14:57:55,360.8
2024-03-05 14:57:55,344.8
2024-03-05 14:57:56,326.0
2024-03-05 14:57:56,309.9
2024-03-05 14:57:57,291.0
2024-03-05 14:57:57,275.4
2024-03-05 14:57:58,256.4
2024-03-05 14:57:58,240.9
2024-03-05 14:57:59,222.1
2024-03-05 14:57:59,206.6
2024-03-05 14:58:00,188.1
2024-03-05 14:58:00,172.7
2024-03-05 14:58:01,154.6
2024-03-05 14:58:01,139.3
2024-03-05 14:58:02,121.6
2024-03-05 14:58:02,104.1
2024-03-05 14:58:03,89.9
2024-03-05 14:58:03,73.5
2024-03-05 14:58:04,60.4
2024-03-05 14:58:04,45.8
2024-03-05 14:58:05,34.2
2024-03-05 14:58:05,19.5
2024-03-05 14:58:06,7.5
2024-03-05 14:58:06,13.2
2024-03-05 14:58:07,27.3
2024-03-05 14:58:07,43.6
2024-03-05 14:58:08,56.8
2024-03-05 14:58:08,72.9
2024-03-05 14:58:09,86.2
2024-03-05 14:58:09,103.0
2024-03-05 14:58:10,117.2
2024-03-05 14:58:10,134.3
2024-03-05 14:58:11,149.0
2024-03-05 14:58:11,166.5
2024-03-05 14:58:12,181.4
2024-03-05 14:58:12,199.3
2024-03-05 14:58:13,214.5
2024-03-05 14:58:13,232.9
2024-03-05 14:58:14,247.7
2024-03-05 14:58:14,266.3
2024-03-05 14:58:15,281.7
2024-03-05 14:58:15,300.0
2024-03-05 14:58:16,315.6
2024-03-05 14:58:16,334.0
2024-03-05 14:58:17,349.6
2024-03-05 14:58:17,368.2
2024-03-05 14:58:18,383.9
2024-03-05 14:58:18,402.9
2024-03-05 14:58:19,418.1
2024-03-05 14:58:19,437.0
2024-03-05 14:58:20,452.6
2024-03-05 14:58:20,436.0
2024-03-05 14:58:21,419.8
2024-03-05 14:58:21,400.8
2024-03-05 14:58:22,384.6
2024-03-05 14:58:22,365.4
2024-03-05 14:58:23,349.7
2024-03-05 14:58:23,330.4
2024-03-05 14:58:24,314.6
2024-03-05 14:58:24,295.5
2024-03-05 14:58:25,276.8
2024-03-05 14:58:25,261.0
2024-03-05 14:58:26,242.2
2024-03-05 14:58:26,226.8
2024-03-05 14:58:27,208.0
2024-03-05 14:58:27,192.6
2024-03-05 14:58:28,174.0
2024-03-05 14:58:28,158.8
2024-03-05 14:58:29,140.9
2024-03-05 14:58:29,125.8
2024-03-05 14:58:30,108.3
2024-03-05 14:58:30,94.0
2024-03-05 14:58:31,77.3
2024-03-05 14:58:31,64.3
2024-03-05 14:58:32,49.2
2024-03-05 14:58:32,37.5
2024-03-05 14:58:33,23.1
2024-03-05 14:58:33,10.9
2024-03-05 14:58:34,3.0
2024-03-05 14:58:34,3.3
2024-03-05 14:58:35,3.5
2024-03-05 14:58:35,3.6
2024-03-05 14:58:36,3.7
2024-03-05 14:58:36,3.7
2024-03-05 14:58:37,3.8
2024-03-05 14:58:37,3.8
