Time,Weight (N)
2024-03-05 15:20:51,.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:51,-0.2
2024-03-05 15:20:53,-9000.00
2024-03-05 15:20:55,-0.0
2024-03-05 15:20:56,-0.0
2024-03-05 15:20:56,-0.0
2024-03-05 15:20:57,-0.0
2024-03-05 15:20:57,0.0
2024-03-05 15:20:58,5.8
2024-03-05 15:20:58,14.4
2024-03-05 15:20:59,26.2
2024-03-05 15:20:59,38.8
2024-03-05 15:21:00,50.8
2024-03-05 15:21:00,65.9
2024-03-05 15:21:01,78.9
2024-03-05 15:21:01,95.4
2024-03-05 15:21:02,110.0
2024-03-05 15:21:02,127.1
2024-03-05 15:21:03,141.5
2024-03-05 15:21:03,158.8
2024-03-05 15:21:04,173.5
2024-03-05 15:21:04,191.2
2024-03-05 15:21:05,205.9
2024-03-05 15:21:05,223.8
2024-03-05 15:21:06,238.5
2024-03-05 15:21:06,256.4
2024-03-05 15:21:07,271.5
2024-03-05 15:21:07,289.3
2024-03-05 15:21:08,304.4
2024-03-05 15:21:08,322.2
2024-03-05 15:21:09,337.5
2024-03-05 15:21:09,355.6
2024-03-05 15:21:10,370.7
2024-03-05 15:21:10,389.2
2024-03-05 15:21:11,404.0
2024-03-05 15:21:11,422.3
2024-03-05 15:21:12,437.5
2024-03-05 15:21:12,452.2
2024-03-05 15:21:13,434.8
2024-03-05 15:21:13,415.5
2024-03-05 15:21:14,399.8
2024-03-05 15:21:14,380.5
2024-03-05 15:21:15,361.8
2024-03-05 15:21:15,345.8
2024-03-05 15:21:16,326.9
2024-03-05 15:21:16,311.4
2024-03-05 15:21:17,292.4
2024-03-05 15:21:17,276.7
2024-03-05 15:21:18,257.9
2024-03-05 15:21:18,242.3
2024-03-05 15:21:19,223.8
2024-03-05 15:21:19,208.2
2024-03-05 15:21:20,189.8
2024-03-05 15:21:20,174.2
2024-03-05 15:21:21,155.8
2024-03-05 15:21:21,140.7
2024-03-05 15:21:22,122.1
2024-03-05 15:21:22,107.0
2024-03-05 15:21:23,88.9
2024-03-05 15:21:23,74.1
2024-03-05 15:21:24,56.4
2024-03-05 15:21:24,41.7
2024-03-05 15:21:25,24.9
2024-03-05 15:21:25,11.4
2024-03-05 15:21:26,9.7
2024-03-05 15:21:26,25.7
2024-03-05 15:21:27,43.6
2024-03-05 15:21:27,58.9
2024-03-05 15:21:28,76.9
2024-03-05 15:21:28,92.0
2024-03-05 15:21:29,110.4
2024-03-05 15:21:29,125.1
2024-03-05 15:21:30,143.2
2024-03-05 15:21:30,158.4
2024-03-05 15:21:31,176.3
2024-03-05 15:21:31,191.4
2024-03-05 15:21:32,209.4
2024-03-05 15:21:32,224.8
2024-03-05 15:21:33,243.3
2024-03-05 15:21:33,261.7
2024-03-05 15:21:34,277.3
2024-03-05 15:21:34,295.6
2024-03-05 15:21:35,311.1
2024-03-05 15:21:35,329.6
2024-03-05 15:21:36,345.2
