Time,Weight (N)
2024-03-05 15:02:23,.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.5
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:23,-0.4
2024-03-05 15:02:24,-9000.00
2024-03-05 15:02:27,-0.0
2024-03-05 15:02:27,-0.0
2024-03-05 15:02:28,-0.0
2024-03-05 15:02:28,-0.0
2024-03-05 15:02:29,0.1
2024-03-05 15:02:29,3.8
2024-03-05 15:02:30,3.9
2024-03-05 15:02:30,4.1
2024-03-05 15:02:31,5.0
2024-03-05 15:02:31,5.1
2024-03-05 15:02:32,5.1
2024-03-05 15:02:32,5.1
2024-03-05 15:02:33,5.2
2024-03-05 15:02:33,5.9
2024-03-05 15:02:34,8.6
2024-03-05 15:02:34,13.6
2024-03-05 15:02:35,24.2
2024-03-05 15:02:35,34.7
2024-03-05 15:02:36,48.1
2024-03-05 15:02:36,59.8
2024-03-05 15:02:37,74.3
2024-03-05 15:02:37,87.2
2024-03-05 15:02:38,102.8
2024-03-05 15:02:38,115.9
2024-03-05 15:02:39,132.3
2024-03-05 15:02:39,145.9
2024-03-05 15:02:40,162.5
2024-03-05 15:02:40,176.6
2024-03-05 15:02:41,193.4
2024-03-05 15:02:41,208.1
2024-03-05 15:02:42,225.7
2024-03-05 15:02:42,240.6
2024-03-05 15:02:43,258.6
2024-03-05 15:02:43,273.2
2024-03-05 15:02:44,291.3
2024-03-05 15:02:44,306.4
2024-03-05 15:02:45,324.6
2024-03-05 15:02:45,340.0
2024-03-05 15:02:46,358.2
2024-03-05 15:02:46,373.6
2024-03-05 15:02:47,392.1
2024-03-05 15:02:47,407.6
2024-03-05 15:02:48,426.4
2024-03-05 15:02:48,441.6
2024-03-05 15:02:49,448.4
2024-03-05 15:02:49,426.5
2024-03-05 15:02:50,410.1
2024-03-05 15:02:50,390.0
2024-03-05 15:02:51,373.6
2024-03-05 15:02:51,353.7
2024-03-05 15:02:52,337.5
2024-03-05 15:02:52,318.1
2024-03-05 15:02:53,301.5
2024-03-05 15:02:53,282.1
2024-03-05 15:02:54,265.9
2024-03-05 15:02:54,246.4
2024-03-05 15:02:55,230.5
2024-03-05 15:02:55,211.2
2024-03-05 15:02:56,195.4
2024-03-05 15:02:56,176.4
2024-03-05 15:02:57,160.9
2024-03-05 15:02:57,142.3
2024-03-05 15:02:58,126.6
2024-03-05 15:02:58,108.3
2024-03-05 15:02:59,93.0
2024-03-05 15:02:59,74.7
2024-03-05 15:03:00,59.9
2024-03-05 15:03:00,42.2
2024-03-05 15:03:01,28.0
2024-03-05 15:03:01,11.9
2024-03-05 15:03:02,4.6
2024-03-05 15:03:02,24.0
2024-03-05 15:03:03,38.8
2024-03-05 15:03:03,56.7
2024-03-05 15:03:04,72.2
2024-03-05 15:03:04,90.6
2024-03-05 15:03:05,105.9
2024-03-05 15:03:05,124.5
2024-03-05 15:03:06,139.5
2024-03-05 15:03:06,158.0
2024-03-05 15:03:07,173.5
2024-03-05 15:03:07,192.0
2024-03-05 15:03:08,207.7
2024-03-05 15:03:08,226.4
2024-03-05 15:03:09,242.4
2024-03-05 15:03:09,261.3
2024-03-05 15:03:10,277.0
2024-03-05 15:03:10,296.4
2024-03-05 15:03:11,315.3
2024-03-05 15:03:11,331.3
2024-03-05 15:03:12,350.4
2024-03-05 15:03:12,366.6
2024-03-05 15:03:13,386.1
2024-03-05 15:03:13,401.7
2024-03-05 15:03:14,421.2
2024-03-05 15:03:14,437.2
2024-03-05 15:03:15,451.5
2024-03-05 15:03:15,432.8
2024-03-05 15:03:16,412.8
2024-03-05 15:03:16,396.5
2024-03-05 15:03:17,376.6
2024-03-05 15:03:17,360.1
2024-03-05 15:03:18,340.5
2024-03-05 15:03:18,324.2
2024-03-05 15:03:19,304.8
2024-03-05 15:03:19,288.2
2024-03-05 15:03:20,268.8
2024-03-05 15:03:20,252.7
2024-03-05 15:03:21,233.2
2024-03-05 15:03:21,217.4
2024-03-05 15:03:22,198.2
2024-03-05 15:03:22,182.4
2024-03-05 15:03:23,163.6
2024-03-05 15:03:23,148.0
2024-03-05 15:03:24,129.5
2024-03-05 15:03:24,113.8
2024-03-05 15:03:25,95.5
2024-03-05 15:03:25,80.4
2024-03-05 15:03:26,62.2
2024-03-05 15:03:26,47.5
2024-03-05 15:03:27,30.1
2024-03-05 15:03:27,16.3
2024-03-05 15:03:28,4.5
2024-03-05 15:03:28,20.7
2024-03-05 15:03:29,38.7
2024-03-05 15:03:29,53.6
2024-03-05 15:03:30,72.1
2024-03-05 15:03:30,87.6
2024-03-05 15:03:31,106.1
2024-03-05 15:03:31,121.6
