Time,Weight (N)
2024-03-05 15:25:27,-9000.00
2024-03-05 15:25:29,3.8
2024-03-05 15:25:30,17.8
2024-03-05 15:25:30,34.9
2024-03-05 15:25:31,49.5
2024-03-05 15:25:31,66.8
2024-03-05 15:25:32,81.3
2024-03-05 15:25:32,98.6
2024-03-05 15:25:33,113.6
2024-03-05 15:25:33,132.0
2024-03-05 15:25:34,147.0
2024-03-05 15:25:34,165.6
2024-03-05 15:25:35,181.1
2024-03-05 15:25:35,199.5
2024-03-05 15:25:36,215.1
2024-03-05 15:25:36,233.7
2024-03-05 15:25:37,249.4
2024-03-05 15:25:37,268.2
2024-03-05 15:25:38,284.0
2024-03-05 15:25:38,303.2
2024-03-05 15:25:39,318.8
2024-03-05 15:25:39,338.0
2024-03-05 15:25:40,354.0
2024-03-05 15:25:40,372.9
2024-03-05 15:25:41,388.8
2024-03-05 15:25:41,407.8
2024-03-05 15:25:42,423.8
2024-03-05 15:25:42,442.9
2024-03-05 15:25:43,456.0
2024-03-05 15:25:43,434.8
2024-03-05 15:25:44,418.4
2024-03-05 15:25:44,398.7
2024-03-05 15:25:45,382.1
2024-03-05 15:25:45,362.6
2024-03-05 15:25:46,346.1
2024-03-05 15:25:46,326.4
2024-03-05 15:25:47,310.3
2024-03-05 15:25:47,290.5
2024-03-05 15:25:48,271.2
2024-03-05 15:25:48,254.7
2024-03-05 15:25:49,235.5
2024-03-05 15:25:49,219.4
2024-03-05 15:25:50,200.0
2024-03-05 15:25:50,184.2
2024-03-05 15:25:51,165.0
2024-03-05 15:25:51,149.2
2024-03-05 15:25:52,130.3
2024-03-05 15:25:52,114.7
2024-03-05 15:25:53,96.2
2024-03-05 15:25:53,80.5
2024-03-05 15:25:54,62.2
2024-03-05 15:25:54,47.4
2024-03-05 15:25:55,29.8
2024-03-05 15:25:55,16.2
2024-03-05 15:25:56,4.0
2024-03-05 15:25:56,20.4
2024-03-05 15:25:57,38.6
2024-03-05 15:25:57,53.9
2024-03-05 15:25:58,72.5
2024-03-05 15:25:58,88.3
2024-03-05 15:25:59,106.9
2024-03-05 15:25:59,122.6
2024-03-05 15:26:00,141.2
2024-03-05 15:26:00,156.7
2024-03-05 15:26:01,175.7
2024-03-05 15:26:01,190.9
2024-03-05 15:26:02,210.0
2024-03-05 15:26:02,226.0
2024-03-05 15:26:03,244.9
2024-03-05 15:26:03,260.9
2024-03-05 15:26:04,279.8
2024-03-05 15:26:04,296.0
2024-03-05 15:26:05,315.2
2024-03-05 15:26:05,331.3
2024-03-05 15:26:06,350.8
2024-03-05 15:26:06,366.6
2024-03-05 15:26:07,386.0
2024-03-05 15:26:07,405.3
2024-03-05 15:26:08,421.6
2024-03-05 15:26:08,441.0
2024-03-05 15:26:09,455.4
2024-03-05 15:26:09,435.5
2024-03-05 15:26:10,419.0
2024-03-05 15:26:10,399.4
2024-03-05 15:26:11,382.6
2024-03-05 15:26:11,363.1
2024-03-05 15:26:12,346.8
2024-03-05 15:26:12,327.0
2024-03-05 15:26:13,310.8
2024-03-05 15:26:13,291.0
2024-03-05 15:26:14,274.8
2024-03-05 15:26:14,255.3
2024-03-05 15:26:15,239.2
2024-03-05 15:26:15,220.0
2024-03-05 15:26:16,203.6
2024-03-05 15:26:16,184.6
2024-03-05 15:26:17,168.8
2024-03-05 15:26:17,149.7
2024-03-05 15:26:18,134.0
2024-03-05 15:26:18,115.1
2024-03-05 15:26:19,99.5
2024-03-05 15:26:19,81.0
2024-03-05 15:26:20,65.7
2024-03-05 15:26:20,47.7
2024-03-05 15:26:21,32.6
2024-03-05 15:26:21,16.0
2024-03-05 15:26:22,3.8
2024-03-05 15:26:22,20.0
2024-03-05 15:26:23,35.2
2024-03-05 15:26:23,53.7
2024-03-05 15:26:24,69.3
2024-03-05 15:26:24,88.4
2024-03-05 15:26:25,103.8
2024-03-05 15:26:25,122.7
2024-03-05 15:26:26,141.3
2024-03-05 15:26:26,157.0
2024-03-05 15:26:27,175.8
2024-03-05 15:26:27,191.2
2024-03-05 15:26:28,210.3
2024-03-05 15:26:28,226.1
2024-03-05 15:26:29,245.1
2024-03-05 15:26:29,261.3
2024-03-05 15:26:30,280.2
2024-03-05 15:26:30,296.3
2024-03-05 15:26:31,315.4
2024-03-05 15:26:31,331.7
2024-03-05 15:26:32,351.1
2024-03-05 15:26:32,367.0
2024-03-05 15:26:33,386.5
2024-03-05 15:26:33,402.7
2024-03-05 15:26:34,422.1
2024-03-05 15:26:34,438.4
2024-03-05 15:26:35,450.9
2024-03-05 15:26:35,432.1
2024-03-05 15:26:36,412.5
2024-03-05 15:26:36,395.7
2024-03-05 15:26:37,376.0
2024-03-05 15:26:37,359.8
2024-03-05 15:26:38,340.0
2024-03-05 15:26:38,323.7
2024-03-05 15:26:39,303.9
2024-03-05 15:26:39,287.6
2024-03-05 15:26:40,268.2
2024-03-05 15:26:40,251.9
2024-03-05 15:26:41,232.7
2024-03-05 15:26:41,216.3
2024-03-05 15:26:42,197.1
2024-03-05 15:26:42,181.3
2024-03-05 15:26:43,162.1
2024-03-05 15:26:43,146.3
2024-03-05 15:26:44,127.3
2024-03-05 15:26:44,111.8
2024-03-05 15:26:45,93.1
2024-03-05 15:26:45,74.5
2024-03-05 15:26:46,59.4
2024-03-05 15:26:46,41.2
2024-03-05 15:26:47,26.5
2024-03-05 15:26:47,10.0
2024-03-05 15:26:48,8.5
2024-03-05 15:26:48,27.6
2024-03-05 15:26:49,42.8
2024-03-05 15:26:49,61.7
2024-03-05 15:26:50,77.4
2024-03-05 15:26:50,96.2
2024-03-05 15:26:51,112.1
2024-03-05 15:26:51,130.8
2024-03-05 15:26:52,146.4
2024-03-05 15:26:52,165.0
2024-03-05 15:26:53,180.8
2024-03-05 15:26:53,199.7
2024-03-05 15:26:54,215.2
2024-03-05 15:26:54,234.6
2024-03-05 15:26:55,250.4
2024-03-05 15:26:55,269.6
2024-03-05 15:26:56,285.7
2024-03-05 15:26:56,304.8
2024-03-05 15:26:57,320.9
2024-03-05 15:26:57,340.1
2024-03-05 15:26:58,356.4
2024-03-05 15:26:58,375.9
2024-03-05 15:26:59,391.7
2024-03-05 15:26:59,411.3
2024-03-05 15:27:00,427.6
2024-03-05 15:27:00,446.9
2024-03-05 15:27:01,442.8
2024-03-05 15:27:01,422.5
2024-03-05 15:27:02,406.0
2024-03-05 15:27:02,386.4
2024-03-05 15:27:03,369.6
2024-03-05 15:27:03,350.0
2024-03-05 15:27:04,333.9
2024-03-05 15:27:04,314.1
2024-03-05 15:27:05,297.7
2024-03-05 15:27:05,278.1
2024-03-05 15:27:06,258.8
2024-03-05 15:27:06,242.5
2024-03-05 15:27:07,223.0
2024-03-05 15:27:07,207.1
2024-03-05 15:27:08,187.7
2024-03-05 15:27:08,171.8
2024-03-05 15:27:09,152.7
2024-03-05 15:27:09,137.1
2024-03-05 15:27:10,118.4
2024-03-05 15:27:10,102.5
2024-03-05 15:27:11,84.0
2024-03-05 15:27:11,68.6
2024-03-05 15:27:12,50.3
2024-03-05 15:27:12,35.5
2024-03-05 15:27:13,18.1
2024-03-05 15:27:13,4.9
2024-03-05 15:27:14,17.2
2024-03-05 15:27:14,32.5
2024-03-05 15:27:15,51.2
2024-03-05 15:27:15,66.6
2024-03-05 15:27:16,85.7
2024-03-05 15:27:16,101.5
2024-03-05 15:27:17,120.3
2024-03-05 15:27:17,136.1
2024-03-05 15:27:18,154.6
2024-03-05 15:27:18,170.3
2024-03-05 15:27:19,188.9
2024-03-05 15:27:19,204.8
2024-03-05 15:27:20,224.0
2024-03-05 15:27:20,239.5
2024-03-05 15:27:21,258.8
2024-03-05 15:27:21,274.9
2024-03-05 15:27:22,294.0
2024-03-05 15:27:22,310.2
2024-03-05 15:27:23,329.3
2024-03-05 15:27:23,345.4
2024-03-05 15:27:24,364.8
2024-03-05 15:27:24,384.1
2024-03-05 15:27:25,400.6
2024-03-05 15:27:25,419.8
2024-03-05 15:27:26,436.0
2024-03-05 15:27:26,453.7
2024-03-05 15:27:27,437.0
2024-03-05 15:27:27,417.0
2024-03-05 15:27:28,400.6
2024-03-05 15:27:28,380.7
2024-03-05 15:27:29,364.3
2024-03-05 15:27:29,344.7
2024-03-05 15:27:30,328.2
2024-03-05 15:27:30,308.8
2024-03-05 15:27:31,292.2
2024-03-05 15:27:31,272.7
2024-03-05 15:27:32,256.7
2024-03-05 15:27:32,237.1
2024-03-05 15:27:33,220.9
2024-03-05 15:27:33,201.5
2024-03-05 15:27:34,185.6
2024-03-05 15:27:34,166.5
2024-03-05 15:27:35,150.6
2024-03-05 15:27:35,131.9
2024-03-05 15:27:36,116.1
2024-03-05 15:27:36,97.3
2024-03-05 15:27:37,82.0
2024-03-05 15:27:37,63.5
2024-03-05 15:27:38,48.3
2024-03-05 15:27:38,30.3
2024-03-05 15:27:39,16.2
2024-03-05 15:27:39,2.6
2024-03-05 15:27:40,2.8
2024-03-05 15:27:40,3.1
2024-03-05 15:27:41,3.1
2024-03-05 15:27:41,3.2
2024-03-05 15:27:42,3.2
2024-03-05 15:27:42,3.3
2024-03-05 15:27:43,3.3
2024-03-05 15:27:43,3.3
2024-03-05 15:27:44,3.3
2024-03-05 15:27:44,3.4
2024-03-05 15:27:45,3.4
2024-03-05 15:27:45,3.4
2024-03-05 15:27:46,3.4
2024-03-05 15:27:46,3.4
2024-03-05 15:27:47,3.4
2024-03-05 15:27:47,3.5
2024-03-05 15:27:48,3.5
2024-03-05 15:27:48,3.5
