Time,Weight (N)
2024-03-05 15:07:25,-9000.00
2024-03-05 15:07:27,0.0
2024-03-05 15:07:28,0.0
2024-03-05 15:07:28,0.0
2024-03-05 15:07:29,0.0
2024-03-05 15:07:29,0.0
2024-03-05 15:07:30,0.0
2024-03-05 15:07:30,1.9
2024-03-05 15:07:31,12.4
2024-03-05 15:07:31,28.3
2024-03-05 15:07:32,42.3
2024-03-05 15:07:32,59.0
2024-03-05 15:07:33,73.0
2024-03-05 15:07:33,89.7
2024-03-05 15:07:34,103.9
2024-03-05 15:07:34,120.8
2024-03-05 15:07:35,135.0
2024-03-05 15:07:35,152.6
2024-03-05 15:07:36,167.0
2024-03-05 15:07:36,184.7
2024-03-05 15:07:37,199.6
2024-03-05 15:07:37,217.4
2024-03-05 15:07:38,232.2
2024-03-05 15:07:38,250.0
2024-03-05 15:07:39,265.1
2024-03-05 15:07:39,283.0
2024-03-05 15:07:40,297.7
2024-03-05 15:07:40,316.0
2024-03-05 15:07:41,330.8
2024-03-05 15:07:41,349.1
2024-03-05 15:07:42,364.5
2024-03-05 15:07:42,382.8
2024-03-05 15:07:43,398.2
2024-03-05 15:07:43,416.3
2024-03-05 15:07:44,431.9
2024-03-05 15:07:44,450.4
2024-03-05 15:07:45,441.3
2024-03-05 15:07:45,421.7
2024-03-05 15:07:46,405.2
2024-03-05 15:07:46,386.1
2024-03-05 15:07:47,369.9
2024-03-05 15:07:47,350.6
2024-03-05 15:07:48,334.8
2024-03-05 15:07:48,315.4
2024-03-05 15:07:49,296.5
2024-03-05 15:07:49,280.3
2024-03-05 15:07:50,261.2
2024-03-05 15:07:50,245.6
2024-03-05 15:07:51,226.4
2024-03-05 15:07:51,210.7
2024-03-05 15:07:52,191.6
2024-03-05 15:07:52,175.9
2024-03-05 15:07:53,157.2
2024-03-05 15:07:53,141.5
2024-03-05 15:07:54,123.1
2024-03-05 15:07:54,107.4
2024-03-05 15:07:55,89.0
2024-03-05 15:07:55,73.9
2024-03-05 15:07:56,55.6
2024-03-05 15:07:56,40.7
2024-03-05 15:07:57,23.2
2024-03-05 15:07:57,9.9
2024-03-05 15:07:58,11.5
2024-03-05 15:07:58,26.7
2024-03-05 15:07:59,44.9
2024-03-05 15:07:59,60.2
2024-03-05 15:08:00,79.1
2024-03-05 15:08:00,94.5
2024-03-05 15:08:01,113.3
2024-03-05 15:08:01,129.2
2024-03-05 15:08:02,147.8
2024-03-05 15:08:02,163.5
2024-03-05 15:08:03,182.1
2024-03-05 15:08:03,197.9
2024-03-05 15:08:04,216.7
2024-03-05 15:08:04,232.0
2024-03-05 15:08:05,250.7
2024-03-05 15:08:05,265.9
2024-03-05 15:08:06,284.5
2024-03-05 15:08:06,300.2
2024-03-05 15:08:07,318.7
2024-03-05 15:08:07,334.4
2024-03-05 15:08:08,353.1
2024-03-05 15:08:08,372.1
2024-03-05 15:08:09,387.8
2024-03-05 15:08:09,406.6
2024-03-05 15:08:10,422.4
2024-03-05 15:08:10,441.0
