Time,Weight (N)
2024-03-05 15:30:40,-9000.00
2024-03-05 15:30:43,-0.0
2024-03-05 15:30:43,-0.0
2024-03-05 15:30:44,-0.0
2024-03-05 15:30:44,-0.0
2024-03-05 15:30:45,1.5
2024-03-05 15:30:45,15.2
2024-03-05 15:30:46,32.7
2024-03-05 15:30:46,47.6
2024-03-05 15:30:47,65.5
2024-03-05 15:30:47,80.3
2024-03-05 15:30:48,97.9
2024-03-05 15:30:48,112.2
2024-03-05 15:30:49,129.9
2024-03-05 15:30:49,144.6
2024-03-05 15:30:50,162.2
2024-03-05 15:30:50,177.0
2024-03-05 15:30:51,194.6
2024-03-05 15:30:51,209.6
2024-03-05 15:30:52,227.6
2024-03-05 15:30:52,242.8
2024-03-05 15:30:53,261.2
2024-03-05 15:30:53,276.1
2024-03-05 15:30:54,295.0
2024-03-05 15:30:54,310.6
2024-03-05 15:30:55,329.3
2024-03-05 15:30:55,344.8
2024-03-05 15:30:56,363.3
2024-03-05 15:30:56,378.8
2024-03-05 15:30:57,397.4
2024-03-05 15:30:57,412.8
2024-03-05 15:30:58,431.7
2024-03-05 15:30:58,447.0
2024-03-05 15:30:59,443.3
2024-03-05 15:30:59,426.4
2024-03-05 15:31:00,406.8
2024-03-05 15:31:00,390.6
2024-03-05 15:31:01,370.9
2024-03-05 15:31:01,354.7
2024-03-05 15:31:02,335.1
2024-03-05 15:31:02,318.9
2024-03-05 15:31:03,299.5
2024-03-05 15:31:03,280.0
2024-03-05 15:31:04,264.0
2024-03-05 15:31:04,244.5
2024-03-05 15:31:05,228.4
2024-03-05 15:31:05,209.1
2024-03-05 15:31:06,193.2
2024-03-05 15:31:06,174.1
2024-03-05 15:31:07,158.1
2024-03-05 15:31:07,139.3
2024-03-05 15:31:08,123.4
2024-03-05 15:31:08,104.4
2024-03-05 15:31:09,89.0
2024-03-05 15:31:09,70.4
2024-03-05 15:31:10,55.2
2024-03-05 15:31:10,37.8
2024-03-05 15:31:11,23.6
2024-03-05 15:31:11,7.2
2024-03-05 15:31:12,9.8
2024-03-05 15:31:12,28.3
2024-03-05 15:31:13,43.4
2024-03-05 15:31:13,61.2
2024-03-05 15:31:14,76.6
2024-03-05 15:31:14,95.3
2024-03-05 15:31:15,111.2
2024-03-05 15:31:15,130.3
2024-03-05 15:31:16,145.9
2024-03-05 15:31:16,165.1
2024-03-05 15:31:17,181.1
2024-03-05 15:31:17,200.1
2024-03-05 15:31:18,216.0
2024-03-05 15:31:18,235.0
2024-03-05 15:31:19,251.2
2024-03-05 15:31:19,270.2
2024-03-05 15:31:20,286.3
2024-03-05 15:31:20,305.7
2024-03-05 15:31:21,321.3
2024-03-05 15:31:21,340.6
2024-03-05 15:31:22,359.5
2024-03-05 15:31:22,375.5
2024-03-05 15:31:23,394.6
2024-03-05 15:31:23,410.2
2024-03-05 15:31:24,429.5
2024-03-05 15:31:24,445.2
2024-03-05 15:31:25,443.7
2024-03-05 15:31:25,426.8
2024-03-05 15:31:26,407.1
2024-03-05 15:31:26,391.0
2024-03-05 15:31:27,371.3
2024-03-05 15:31:27,355.0
2024-03-05 15:31:28,335.4
2024-03-05 15:31:28,319.3
2024-03-05 15:31:29,300.0
2024-03-05 15:31:29,283.6
2024-03-05 15:31:30,264.4
2024-03-05 15:31:30,248.1
2024-03-05 15:31:31,228.7
2024-03-05 15:31:31,212.9
2024-03-05 15:31:32,193.5
2024-03-05 15:31:32,177.4
2024-03-05 15:31:33,158.3
2024-03-05 15:31:33,142.6
2024-03-05 15:31:34,123.7
2024-03-05 15:31:34,107.7
2024-03-05 15:31:35,89.1
2024-03-05 15:31:35,73.5
2024-03-05 15:31:36,55.2
2024-03-05 15:31:36,40.7
2024-03-05 15:31:37,23.2
2024-03-05 15:31:37,9.3
2024-03-05 15:31:38,11.7
2024-03-05 15:31:38,27.1
2024-03-05 15:31:39,45.2
2024-03-05 15:31:39,60.3
2024-03-05 15:31:40,79.0
2024-03-05 15:31:40,94.5
2024-03-05 15:31:41,113.5
2024-03-05 15:31:41,132.4
2024-03-05 15:31:42,148.4
2024-03-05 15:31:42,167.5
2024-03-05 15:31:43,183.2
2024-03-05 15:31:43,202.5
2024-03-05 15:31:44,218.4
2024-03-05 15:31:44,237.7
2024-03-05 15:31:45,253.8
2024-03-05 15:31:45,272.8
2024-03-05 15:31:46,288.9
2024-03-05 15:31:46,307.9
2024-03-05 15:31:47,324.1
2024-03-05 15:31:47,343.3
2024-03-05 15:31:48,359.0
2024-03-05 15:31:48,378.4
2024-03-05 15:31:49,394.3
2024-03-05 15:31:49,413.3
2024-03-05 15:31:50,429.4
2024-03-05 15:31:50,448.3
2024-03-05 15:31:51,442.8
2024-03-05 15:31:51,422.6
2024-03-05 15:31:52,406.2
2024-03-05 15:31:52,386.5
2024-03-05 15:31:53,370.4
2024-03-05 15:31:53,351.0
2024-03-05 15:31:54,334.5
2024-03-05 15:31:54,315.2
2024-03-05 15:31:55,299.0
2024-03-05 15:31:55,279.5
2024-03-05 15:31:56,263.5
2024-03-05 15:31:56,244.0
2024-03-05 15:31:57,227.8
2024-03-05 15:31:57,208.5
2024-03-05 15:31:58,192.6
2024-03-05 15:31:58,173.5
2024-03-05 15:31:59,157.4
2024-03-05 15:31:59,138.5
2024-03-05 15:32:00,119.3
2024-03-05 15:32:00,103.6
2024-03-05 15:32:01,84.9
2024-03-05 15:32:01,69.4
2024-03-05 15:32:02,51.4
2024-03-05 15:32:02,36.5
2024-03-05 15:32:03,19.3
2024-03-05 15:32:03,5.8
2024-03-05 15:32:04,15.0
2024-03-05 15:32:04,30.3
2024-03-05 15:32:05,48.2
2024-03-05 15:32:05,63.4
2024-03-05 15:32:06,81.9
2024-03-05 15:32:06,97.8
2024-03-05 15:32:07,116.9
2024-03-05 15:32:07,132.4
2024-03-05 15:32:08,151.7
2024-03-05 15:32:08,167.5
2024-03-05 15:32:09,186.6
2024-03-05 15:32:09,202.7
2024-03-05 15:32:10,221.7
2024-03-05 15:32:10,237.8
2024-03-05 15:32:11,256.8
2024-03-05 15:32:11,273.0
2024-03-05 15:32:12,292.3
2024-03-05 15:32:12,308.1
2024-03-05 15:32:13,327.6
2024-03-05 15:32:13,343.5
2024-03-05 15:32:14,362.6
2024-03-05 15:32:14,378.8
2024-03-05 15:32:15,397.6
2024-03-05 15:32:15,413.6
2024-03-05 15:32:16,432.7
2024-03-05 15:32:16,448.8
2024-03-05 15:32:17,436.6
2024-03-05 15:32:17,420.1
2024-03-05 15:32:18,400.5
2024-03-05 15:32:18,380.9
2024-03-05 15:32:19,364.8
2024-03-05 15:32:19,345.1
